utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
"I’m making mini keto cheesecake cupcakes, and the ingredients are cream cheese, egg, powdered sweetener, sour cream, and vanilla extract. Can I skip the almond flour crust and put a shortbread cookie at the bottom and cover it up with filling?","mini keto cheesecake cupcakes, (1.00)",ingredients (1.00),almond flour crust (1.00),filling (1.00),none,none
Can I use all purpose flour to make a pound cake?,pound cake (1.00),purpose (0.56),none,all (0.99),flour (0.74),none
Can butter and shortening be used interchangeably in baked goods?,in baked goods (0.67),none,none,shortening (0.98),butter and (0.95),interchangeably (0.54)
How much does it cost to build your own pizza oven?,pizza oven (1.00),none,none,none,none,none
What does egg wash do to dough?,egg (0.90),none,none,dough (0.73),wash (0.68),none
Can you soften a hard avocado by baking it?,hard avocado (1.00),baking it (0.99),none,none,none,none
What is unleavened dough?,##leavened dough (0.96),none,none,un (0.84),none,none
How do bakery ovens work?,bakery ovens (1.00),none,none,none,none,none
How do I make a cupcake box template?,cupcake box template (1.00),none,none,none,none,none
How do you keep salmon from sticking when baking?,salmon from sticking when baking (1.00),none,none,none,none,none
What is special about Canadian flour?,canadian flour (0.97),none,none,none,none,none
Where can you buy cake flour in the UK?,cake flour (1.00),none,none,none,none,none
"What is your ""secret"" recipe hack to replace sugar?",""" secret "" recipe hack to replace sugar (1.00)",none,none,none,none,none
"In his first course on recipes, our culinary student learned there were five basic flavors. Four of them (sweet, sour, salty and bitter) have been recognized for centuries. The fifth one was scientifically identified in the 20th century. What is it?",recipes (1.00),culinary student (0.98),basic flavors (0.93),scientific (0.65),identified (0.45),none
Can I bring my therapist food? Like baked goods I made?,therapist food? like baked goods i made (0.98),none,none,none,none,none
"How do you make a super chewy and fudgy brownie that's not too sweet? All the recipes I've looked at contain at least a cup of sugar, and my family doesn't really like treats that are too sweet.",super chewy and fudgy brownie that's not too sweet (1.00),cup of sugar (1.00),sweet (0.99),too (0.93),none,none
What are soft peaks in baking?,soft peaks (1.00),baking (0.51),none,none,none,none
What's the most carrot intensive carrot cake recipe that you know of?,carrot intensive carrot cake recipe (1.00),most (0.78),none,none,none,none
How can I make a bar cookie more dense?,bar cookie more dense? (1.00),none,none,none,none,none
"How can I make cream cheese frosting super light and fluffy, kind of like Cinnabon frosting?","cream cheese frosting super light and fluffy, kind of like cinnabon frosting (1.00)",none,none,none,none,none
What kind of bananas are best for making bananas foster?,bananas foster? (1.00),none,none,bananas (0.91),none,none
"What is wrong with my banana bread? It always ends up a bit gummy-looking (it's not wet) without proper crumb forming. I have tried baking banana bread a dozen of times, tweaking the recipes, and it still never came out like the ones from bakery :(",banana bread (1.00),banana bread a dozen of times (1.00),bit gummy - looking ( it's not wet ) (0.99),proper crumb forming (1.00),bakery (0.74),none
Do you have to refrigerate cake pops before dipping?,##rigerate cake pops before dipping (1.00),none,none,ref (0.98),none,none
What is the function of water in pastry?,water in pastry (0.93),none,none,none,none,none
"Every time I try to store my cinnamon rolls in the fridge they get tough and weird, so how long can I store at room temperature before they go stale. And what's the reason for them getting tough in the fridge?",in the fridge (1.00),long (0.91),"cinnamon rolls in the fridge they get tough and weird, (0.86)",tough (0.88),them (0.40),none
You are cooking with a recipe that called for 1/4 pound of butter. How many teaspoons of butter do you add?,1 / 4 pound of butter (1.00),many teaspoons of butter (1.00),none,none,none,none
Can I use self-rising flour instead of baking powder?,self - rising flour instead of baking powder (1.00),none,none,none,none,none
Can I bake at the same temperature in a toaster oven as an oven without it burning?,toaster oven as an oven (1.00),none,none,it burning (1.00),none,none
Is vanilla the finest of the flavors?,finest (0.75),the (0.70),flavors (0.62),vanilla (0.64),none,none
Why is the Battenberg cake pink and yellow?,battenberg cake pink and yellow (1.00),none,none,none,none,none
How many teaspoons of baking powder can I use for 3kg of flour?,teaspoons of baking powder (1.00),3kg of flour (1.00),none,none,none,none
Can pastry cream be more than just vanilla?,pastry cream (1.00),just vanilla (0.88),none,none,none,none
I recently got into Red Velvet and I'm wondering who is the most popular member?,red velvet (1.00),most popular member (0.78),none,none,none,none
How many bags of sprinkles do I need to cover a sprinkle cake?,##rinkles (1.00),sprinkle cake (1.00),none,sp (1.00),bags (0.63),none
How long can dough be left out before it's not safe?,dough (1.00),left out before it (0.71),not safe (0.44),none,none,none
How do you emboss a name on a cake?,cake (1.00),name (0.96),none,none,none,none
How many 1/8 cups does it take to make a cup?,cup (1.00),1 / 8 cups (0.97),none,none,none,none
How do I store an angel food cake overnight?,angel food cake overnight (1.00),none,none,none,none,none
Why are dog treats called biscuits and not cookies?,dog treats (1.00),biscuits and not cookies (0.99),none,none,none,none
How many grams of flour are in a recipe?,grams (0.85),recipe (0.66),none,flour (0.98),none,none
Can I make a 5 layer 6inch tall cake without a cake disc/centre board in the middle? Preferably without any dowels too?,5 layer 6inch tall cake (1.00),disc / centre board in the middle (1.00),prefer (0.99),a (1.00),any (1.00),dow (1.00)
What is sifted flour?,sifted flour (0.68),none,none,none,none,none
What is the purpose of adding hot water in a cake recipe?,hot water in a cake recipe (1.00),none,none,none,none,none
Can I bake two batches of brownie mixes in two baking pans at the same time?,batches of (0.99),brownie mixes in two baking pans (0.97),none,none,none,none
Is cupcake an instrument?,cupcake (1.00),instrument (0.80),none,none,none,none
Baking: How do you make great bread?,great bread (1.00),none,none,none,none,none
How often do you buy bread?,bread (1.00),none,none,none,none,none
How can I make my own Starbursts?,starbursts (1.00),none,none,none,none,none
What is the average cost/value of a Cake Boss cake?,cake boss cake (1.00),cost / value (0.96),none,average (0.99),none,none
Why is almost every deep frying/baking dish cooked at 180C/350F?,deep frying / baking dish cooked at 180c / 350f? (0.98),none,none,none,none,none
How long do you bake chicken legs at 350?,chicken legs at 350? (1.00),none,none,none,none,none
How long does it take to start baking potatoes in the microwave?,potatoes in the microwave? (1.00),none,none,none,none,none
What do people do with rusty baking pans?,none,none,none,rusty baking pans? (0.99),none,none
What is the benefit of letting the dough rest after punching down?,dough rest after punching down (1.00),none,none,none,none,none
"If you were to kill someone with bread, how would you do it?",none,none,none,bread (1.00),none,none
How can I brown a large turkey leg that is too big for the pan?,large turkey leg that is too big for the pan (1.00),none,none,none,none,none
Why is Christmas pudding in the UK called a pudding when it actually is a cake? Shouldn't a pudding be creamy and yoghurt-like?,christmas pudding (1.00),pudding when it actually is a cake (1.00),pudding (1.00),none,none,none
Today I made edible cookie dough. Is there a chance something could be wrong if I microwaved the flour for 2 minutes stirring each 15 seconds?,edible cookie dough (1.00),the flour for 2 minutes stirring each 15 seconds (1.00),microwave (0.74),none,none,none
Can you use cane sugar instead of granulated sugar for baking?,cane sugar instead of granulated sugar for baking (0.98),none,none,none,none,none
What ingredient do you always add more than is called for in a recipe?,more than is called (0.69),in (0.56),none,ingredient (0.50),for (0.40),none
What makes an angel food cake have no fat?,angel food cake (1.00),? (1.00),none,fat (1.00),no (0.99),none
How do I know when my brownies are finished baking?,brownies are finished baking (1.00),none,none,none,none,none
What is the hardest pastry to make?,hardest pastry (0.99),none,none,none,none,none
Are chemicals added to bread to make it last longer?,bread (0.99),it last longer (0.50),none,chemicals added (0.79),none,none
Why do some bread recipes call for a second rise?,bread recipes (1.00),second rise (1.00),none,none,none,none
What happens if you don't let pizza dough rise?,pizza dough rise (1.00),none,none,none,none,none
What is your favorite flavor birthday cake?,favorite flavor birthday cake (1.00),none,none,none,none,none
How do I make CO2 with baking soda?,co2 with baking soda? (0.99),none,none,none,none,none
How do I bake a 10-pound turkey?,10 - pound turkey? (1.00),none,none,none,none,none
Is pie crust a form of bread?,pie crust (0.99),bread (0.84),none,none,none,none
How do I rewarm corn on the cob?,corn on the cob? (0.99),none,none,none,none,none
Is steamed bread healthier than baked bread?,steamed bread health (1.00),than baked bread (0.98),none,none,none,none
Is homemade bread healthier than store bought bread?,homemade bread health (1.00),store bought bread (0.96),none,none,none,none
Should you use warm water when making bread dough?,bread dough (1.00),none,none,warm water (0.99),none,none
Can you mix peanut butter into a brownie mix?,peanut butter into a brownie mix (0.98),none,none,none,none,none
What is the best flour to use for a pound cake?,the best flour (1.00),pound cake (1.00),none,none,none,none
Will two foods baked in the same oven impart flavor to each other?,foods (0.99),baked in the same oven impart flavor (0.80),none,none,none,none
How much cheese and flour do I need to make a large cheese pizza at home to feed 8 people?,large cheese pizza (1.00),and flour (0.97),8 people (0.97),cheese (1.00),none,none
How do you keep the bottom crust of a cherry pie from getting soggy?,bottom crust of (1.00),cherry pie (0.86),getting soggy (0.64),none,none,none
How long do you bake monkey bread?,monkey bread (0.99),none,none,none,none,none
How can I make a homemade strudel?,homemade strudel? (1.00),none,none,none,none,none
How do you make a cake with just fruit?,cake (1.00),none,none,just fruit? (1.00),none,none
How does cheesecake taste?,cheesecake (1.00),none,none,none,none,none
In Chinese cooking can cornstarch replace tang flour?,cornstarch replace tang flour? (0.99),cooking can (0.66),none,none,none,none
How do I make a glaze with confectioners sugar?,glaze with confectioners sugar (1.00),none,none,none,none,none
What can you use instead of baking powder for pancakes?,baking powder for pancakes (0.99),none,none,none,none,none
What is the best 3 ingredient dessert you ever had?,best 3 ingredient dessert (1.00),ever (0.64),none,none,none,none
How much is 100 grams of flour in cups?,100 grams (0.99),flour in cups (0.86),none,none,none,none
Can we add unboiled milk in a cake?,unboiled milk in a cake (1.00),none,none,none,none,none
What other toppings can I add to a cupcake other than frosting?,cupcake other than frosting (1.00),none,none,topping (0.99),none,none
What is a NutriProfit hot cake product in the market?,nutriprofit hot cake product (1.00),market (0.99),none,none,none,none
Is there a way I can coat cake pops with frosting instead of candy melts?,cake pops with frosting instead of candy melts (1.00),none,none,none,none,none
How do I make sfogliatelle with puff pastry?,sfogliatelle with puff pastry (1.00),none,none,none,none,none
"What are some good beginner baking brands to make cakes, cupcakes, etc? Also baking tools and pans as well?","make cakes, cupcakes, etc? also baking tools and pans (0.99)",good beginner baking brands (0.98),none,none,none,none
Can you put egg wash (whites only) as a glaze on already baked bread?,egg wash ( whites only ) as a glaze on already baked bread (1.00),none,none,none,none,none
"What is a good substitute for a banana in baking recipes, like quickbreads and brownies? I've tried avocado, which is ok. What else can I try?","banana in baking recipes, like quickbreads and brownies (1.00)",##ocado (1.00),none,av (1.00),ok (0.65),none
Where can you buy rice flour in Chicago?,rice flour (1.00),chicago (1.00),none,none,none,none
Can you replace water with milk when making bread?,bread (0.99),with (0.91),none,milk (0.96),water (0.77),none
Can I leave fresh baked bread on the counter overnight?,fresh baked bread on the counter overnight (1.00),none,none,none,none,none
"What makes the best pizza crust, active dry yeast, instant yeast, or baking powder?","the best pizza crust, active dry yeast, instant yeast, or baking powder? (0.97)",none,none,none,none,none
How do you make bacon not crispy?,bacon not crispy? (1.00),none,none,none,none,none
How do I make cupcakes without baking powder?,cupcakes without (1.00),powder (1.00),none,baking (1.00),none,none
How many people can be served with 4 kg of cake?,people (0.90),kg of cake (0.89),none,4 (0.99),none,none
Why do some recipes call for sifted flour?,sifted flour? (0.95),none,none,recipes (0.89),none,none
"When attempting to make red icing, why does it always turn out pink?","red icing, (1.00)",it always turn out pink (0.98),none,none,none,none
What will happen if I accidentally double the amount of baking soda in a recipe?,baking soda in (0.99),amount (0.66),none,none,none,none
What is the best way to store muffins?,muffins (1.00),none,none,none,none,none
"Why doesn't my cake come in brown colour, even after properly cooked?",cake (1.00),even (0.52),none,properly cooked? (0.88),"brown colour, (0.76)",none
Are Lorna Doone cookies named after the inventor of them?,lorna doone cookies (0.99),none,none,none,none,none
How much baking powder is needed for a cake?,cake (1.00),none,none,baking powder (1.00),none,none
"Do you like to bake? If so, what do you like to make?",so (0.50),##ke (0.36),none,ba (0.89),none,none
What happens if you put too much butter in cookies?,too much butter in cookies (0.94),none,none,none,none,none
How many cake mixes go into a full sheet cake?,cake mixes (1.00),full sheet cake (1.00),none,none,none,none
Is it okay to let pizza dough rise overnight?,pizza dough rise overnight (1.00),none,none,none,none,none
Is there any bread that is not made from flour?,bread (1.00),none,none,made from flour (0.97),none,none
"Which Wirral born chef had been a judge on BBC's ""The Great British Bake Off"" since 2010?","the great british bake off "" (0.97)","bbc's "" (0.85)",wirral born chef (0.78),none,none,none
What is the difference between leavened and unleavened dough?,leavened and unleavened dough (1.00),none,none,none,none,none
Can you use 1/3 less fat cream cheese for cheesecake?,1 / 3 less fat cream cheese for cheesecake (1.00),none,none,none,none,none
How do you fix runny meringue?,runny meringue? (1.00),none,none,none,none,none
What is the ideal ratio of yeast to the total weight of a pastry to ensure optimal dough rising?,yeast to the total weight (0.91),ideal ratio (0.84),pastry (0.74),rising (0.84),optimal (0.61),none
Is baking a talent or a skill?,talent or (0.93),skill (0.87),none,none,none,none
How do I build a wood pizza oven?,wood pizza oven (1.00),none,none,none,none,none
How do I make Chinese steamed buns white?,chinese steamed buns white? (1.00),none,none,none,none,none
How do I bake chicken in aluminum foil?,chicken in aluminum foil (1.00),none,none,none,none,none
Is it safe to eat cookie dough left out overnight?,cookie dough left out overnight (1.00),none,none,none,none,none
"Except cheese pizza, what is the easiest pizza to make at home?",easiest pizza to make (1.00),the (0.99),cheese pizza (0.96),none,none,none
How could you get a nice high and very soft sponge cake even without using yeast?,nice high and very soft sponge cake (1.00),none,none,using yeast (0.99),none,none
Is there a recipe for a pizza that's cooked then rolled like a tube and cut up?,pizza that's cooked then rolled like a tube and cut up (1.00),none,none,none,none,none
How do you fix overworked dough?,overworked dough (1.00),none,none,none,none,none
What are the best alternatives for parchment paper?,parchment paper (1.00),none,none,none,none,none
Can baking powder and vinegar be used for aquarium CO2?,aquarium co2? (1.00),powder and vinegar (0.87),none,baking (0.99),none,none
"Why do cooks bother whipping egg whites for recipes that they later ""knock the air out of"" (i.e., macarons, meringue buttercream)?","air out of "" ( i. e., macarons, meringue buttercream ) (0.91)","whipping egg whites for recipes that they later "" knock the (0.87)",none,none,none,none
"What is brioche bread, and why is it so expensive?",brioche bread (1.00),none,none,none,none,none
How many cups are in a can of pumpkin?,can of pumpkin? (1.00),cups (0.50),none,none,none,none
Why are there sometimes large holes inside of a cake?,cake (1.00),none,none,large holes inside (0.78),none,none
"I'm interested in baking earrings. However, in all of the videos, they use oven to shrink the plastic. Is there any alternative besides an oven?",earrings (0.87),plastic (0.80),the (0.64),baking (0.85),oven to (0.84),oven (0.59)
How do you stop baking sheets from warping in the oven?,baking sheets from warping in the oven (0.98),none,none,none,none,none
How do I heat tamales in the oven?,tamales in the oven (1.00),none,none,none,none,none
Can I add preservatives to my meat pie dough?,preservatives (1.00),meat pie dough (1.00),none,none,none,none
Are disposable aluminum baking pans recyclable?,disposable aluminum baking pans recyclable? (1.00),none,none,none,none,none
Can you use coconut flour for banana bread?,coconut flour for banana bread (1.00),none,none,none,none,none
Which ingredient makes cookies moist and tender?,cookies moist and tender? (0.90),none,none,ingredient (0.81),none,none
What are other ways to bake bread other than using an oven?,bread (0.98),none,none,oven (1.00),ba (0.50),none
Is it better to cook an Apple when making an Apple pie?,apple when making (1.00),apple pie (1.00),none,none,none,none
Is it okay to have a chocolate wedding cake or does it have to be vanilla? (I hate vanilla cake),chocolate wedding cake (1.00),vanilla cake ) (0.98),? ( (0.76),vanilla (0.98),none,none
How can I make my sugar-free cake more moist?,sugar - free cake more moist? (1.00),none,none,none,none,none
Are all purpose flour and wheat flour the same?,all purpose flour and wheat flour (1.00),same (0.87),none,none,none,none
What is the desired dough temperature?,desired dough temperature (0.68),none,none,none,none,none
Can you put ground weed into the brownie mix and cook it?,ground weed into the brownie mix (1.00),it (0.97),none,none,none,none
"In France, we have this silly yet national debate over a pastry's name. Is there something like this in your country and, if yes, about what?",silly yet national debate (0.99),pastry's name (0.93),none,what (0.95),country (0.29),none
Do you make your own cake for birthdays in your family?,cake (1.00),birthdays in (0.76),family (0.51),none,none,none
Is there a recipe where you literally throw the egg (shell and everything) in the bowl and make something with it?,egg ( shell and everything ) in the bowl (1.00),none,none,it (1.00),none,none
Is it better to make pizza dough the night before?,pizza dough (1.00),night before (1.00),none,none,none,none
"Can you turn the oven off, half way through cooking your food, and it turn out ok; as long as you never open the oven?",food (0.99),oven off (0.84),oven (0.78),none,none,none
Why wont my frosting turn black? It is reccomended to first add a lot of cocoa powder to start off to get the buttercream brown and then add the black gel paste last. Ive added half a tub of black paste and one gel tube and still no black frosting.,buttercream brown (1.00),paste and one gel tube (1.00),tub of (0.99),black (1.00),black (0.63),none
"Why do my cookies end up with an unpleasant dust-like texture when I make them with cornstarch, and how can I fix it?",cookies (1.00),make them with cornstarch (0.87),unpleasant dust - like texture when (0.84),none,none,none
Why do wedding cakes never taste good?,wedding cakes (1.00),none,none,good (0.94),none,none
How long should a stored bough pizza dough rest at room temperature?,stored bough pizza dough rest (1.00),room temperature (0.95),none,none,none,none
What country do spritz cookies come from?,##ritz cookies (0.95),sp (0.58),none,country (0.42),none,none
How do I bake chicken with crispy skin?,chicken with crispy skin (0.93),none,none,none,none,none
How much butter goes into a single croissant 🥐?,single croissant 🥐? (1.00),goes into (0.95),none,butter (1.00),none,none
How do I make a dog cake easily?,dog cake easily (1.00),none,none,none,none,none
"Do I really need a Detroit pizza pan for Detroit pizza? And if not, would a 9x13 baking pan be as equally effective?",detroit pizza pan for detroit pizza (1.00),9x13 baking pan (1.00),equally effective (0.98),none,none,none
What is a good substitute for dry milk powder in baking?,dry milk powder in baking (1.00),none,none,none,none,none
What do you do if you mistake salt for sugar while cooking?,salt for sugar while cooking (1.00),none,none,none,none,none
What is a clay oven called?,clay oven called (0.99),none,none,none,none,none
Is kamut flour healthier than regular flour?,kamut flour health (0.92),than regular flour (0.92),none,none,none,none
What skills do you learn from baking?,none,none,none,baking (1.00),none,none
"What is shortening in baking, and why is it important?",none,none,none,shortening (0.98),it (0.95),important (0.89)
Does oil or butter help rise the dough?,dough (1.00),none,none,oil or butter (1.00),none,none
Can yeast be added in cake making?,cake (1.00),none,none,yeast (1.00),added (0.50),making (0.50)
"Should I use bread flour, all purpose flour, gluten-free flour, or cake flour for croissants?","bread flour, all purpose flour, gluten - free flour, or cake flour for croissants (1.00)",none,none,none,none,none
Can you substitute olive oil for vegetable oil when baking a cake?,olive oil for vegetable oil when baking (0.97),cake (0.88),none,none,none,none
Why should you crack your eggs on a flat surface?,eggs on a flat surface (1.00),none,none,none,none,none
Can I bake anything in grill/combo microwave oven?,none,none,none,grill / combo microwave oven (1.00),none,none
How many cups is 200 grams of flour?,200 grams (0.93),cups (0.87),none,flour (0.56),none,none
"One day, will you get all your food requirements in a biscuit?",food requirements in a biscuit (0.95),none,none,none,none,none
What happens if you don't add eggs to a cake mix?,eggs to a cake mix (1.00),none,none,none,none,none
Is it good to make fresh homemade pastry dessert for your business or buy them already done from a local bakery?,fresh homemade pastry dessert for (1.00),them already done from (1.00),business (0.99),none,none,none
How long does it take to bake broccoli at 375?,broccoli at 375 (0.99),none,none,none,none,none
Where in Stratford-upon-Avon can I find single pieces of plain chocolate cake? Which cafes?,single pieces of plain chocolate cake (1.00),which cafes (1.00),stratford - upon - avon (0.96),none,none,none
How do you reheat potato pancakes in the microwave?,potato pancakes in the microwave (1.00),rehea (0.99),none,none,none,none
How do you thaw Pepperidge Farm puff pastry?,thaw pepperidge farm puff pastry (1.00),none,none,none,none,none
What does too much vanilla extract taste like?,too much vanilla extract (1.00),none,none,none,none,none
Is it important to warm the flour before making bread?,flour before making bread (1.00),none,none,none,none,none
How do I cut a honey-baked ham?,honey - baked ham (1.00),none,none,none,none,none
"How do you cook a frozen pizza in a gas oven? I have a temp-specific gas oven. I have a pizza stone, do I need it?",frozen pizza in a gas oven (1.00),temp - specific gas oven (1.00),pizza stone (0.98),it (0.61),none,none
Why do those little black filaments appear in cooked banana bread?,little black filaments appear in cooked banana bread (1.00),none,none,none,none,none
"When I wear sandals, the soles get really sweaty. Is there any way to prevent this? I’ve heard baking powder supposedly helps but not sure if that does anything.",sandals (0.97),sole (0.76),sweaty (0.46),baking powder supposedly helps (1.00),##s (0.91),anything (0.43)
What happens if more baking soda is added to a cake?,cake (1.00),none,none,baking soda is added to (0.88),none,none
How do you know when baked custard is done?,baked custard is done (1.00),none,none,none,none,none
Can I use whipped cream made from egg whites for making cheesecake?,whipped cream made from egg whites for making cheesecake (1.00),none,none,none,none,none
Why do you whip egg whites for an angel food cake?,angel food cake (1.00),egg whites for an (0.99),none,none,none,none
How do I toast coconut in the oven?,coconut in the oven (1.00),none,none,none,none,none
How long does it take to bake a 16 lb turkey?,16 lb turkey? (1.00),none,none,none,none,none
Is cake flour better for doughnuts?,cake flour (1.00),##nuts (0.99),none,dough (0.99),none,none
What are the steps to make eggs?,eggs (1.00),none,none,none,none,none
Is Sourdoughbread healthy?,sourdoughbread healthy (1.00),none,none,none,none,none
Can you freeze homemade potato pancakes?,homemade potato pancakes (0.87),none,none,none,none,none
Which bread do you personally use for making grilled cheese?,grilled cheese (1.00),none,none,bread (0.98),none,none
How long does it take to bake wings at 450?,wings at 450? (0.93),none,none,none,none,none
What is the best type of pan to bake banana bread in?,pan to bake banana bread in (1.00),the best type (0.97),none,none,none,none
What's the most ambitious cake you've ever made?,most ambitious (0.97),cake (0.59),ever (0.51),none,none,none
"What is the difference between ""Top Flour"", ""All-purpose flour"" and ""plain flour""?",""" top flour "", "" all - purpose flour "" and "" plain flour "" (1.00)",none,none,none,none,none
"I have flour, sugar, and butter. What can I make with that?",none,none,none,"flour, sugar, and butter (1.00)",that (0.59),none
Can I use sunflower oil instead of vegetable oil for brownies?,sunflower oil instead of vegetable oil for brownies (1.00),none,none,none,none,none
What is the best alternative to sugar for baking?,best (1.00),sugar for baking? (0.98),none,none,none,none
"How long is ""overnight"" for proving dough/sponge?",proving dough / sponge? (1.00),overnight (0.85),none,none,none,none
How many calories are in a baked potato with butter?,##ories (1.00),baked potato with butter (1.00),none,cal (1.00),none,none
"How many times can I take banana, milk, egg, and baking soda for conception?","banana, milk, egg, and baking soda (1.00)",none,none,conception (0.97),none,none
What does vinegar do to pastry dough?,pastry dough (1.00),none,none,vinegar (1.00),none,none
"If you want your potatoes to be baked quickly (dinner is in an hour) but you forgot to preheat the oven, should you put them in while preheating or not (baking, potatoes, cooking)?",potatoes (1.00),be baked quickly ( dinner is in an hour ) (1.00),"preheating or not ( baking, potatoes, cooking ) (1.00)",pre (0.86),while (0.49),none
How long does it take to bake 4 chicken thighs?,4 chicken thighs (0.99),none,none,none,none,none
"Why do the vast majority of hobby bakers seemingly prefer a nice, mild-flavored loaf of sourdough bread despite the relative ease of preparing more tangy varieties?","nice, mild - flavored loaf of sourdough bread (1.00)",tangy varieties (1.00),hobby bakers seemingly (0.95),relative (0.96),none,none
How far in advance can you decorate a cake?,cake (1.00),none,none,advance (0.49),none,none
Where can I buy vegan cinnamon rolls?,vegan cinnamon rolls (1.00),none,none,none,none,none
Why does my pound cake look wet in the middle?,pound cake (1.00),wet in the middle (0.98),none,none,none,none
"Is it possible to make biscuits from ""scratch"" without shortening?","biscuits from "" scratch "" (1.00)",none,none,shortening (1.00),none,none
What are the problems in a bakery?,bakery (1.00),none,none,none,none,none
How do I draw a slice of pie?,slice of pie (1.00),none,none,none,none,none
"Does instant yeast make a better pizza dough than baking soda? If so, why?",yeast (1.00),better pizza dough than baking soda (1.00),so (0.87),instant (0.57),none,none
How do I build a backyard pizza oven?,backyard pizza oven (1.00),none,none,none,none,none
How long can a croissant stay at room temperature before it spoils?,croissant stay (0.96),room temperature (0.95),it spoils (0.65),none,none,none
Can you bake a bundt cake in a 9x13 pan?,bundt cake in a 9x13 pan (1.00),none,none,none,none,none
How do different flours affect cookies?,cookies (0.97),flour (0.90),none,##s (0.92),different (0.45),none
How do you keep the crust of a frozen pizza from burning?,crust (1.00),frozen pizza from (0.95),none,burning (0.98),none,none
Can raw dough rise in your stomach?,raw (0.85),stomach (0.68),none,dough (0.86),none,none
"What is the use of ""Milk mode ml"" in food scales?",""" milk mode ml "" in food scales (1.00)",none,none,none,none,none
What happens if I add too much baking powder to my cake?,cake (0.78),none,none,baking powder (0.91),none,none
Can I crush Xanax and bake them into a cheesecake?,xanax (1.00),bake them into (1.00),cheesecake (0.84),none,none,none
Why aren’t McDonald’s cookies freshly made?,mcdonald ’ s cookies freshly made (1.00),none,none,none,none,none
Why do homemade cleaning solutions that use baking soda and vinegar work? Don’t they just neutralize each other?,homemade cleaning solutions (1.00),soda and vinegar work (1.00),’ (0.89),baking (0.90),neutral (0.85),none
How long does it take to cook a 9lb spiral ham?,9lb spiral ham? (1.00),none,none,none,none,none
How did people know how to make sourdough in ancient times?,sourdough in ancient times (1.00),none,none,none,none,none
Can I put butter on bread before toasting?,butter on (1.00),bread before toasting (0.96),none,none,none,none
What is the most unusual thing that you have ever come across when baking?,most (0.74),unusual (0.32),none,baking (0.41),none,none
Can you microwave homemade pie dough till it is fully cooked?,homemade pie dough (1.00),it (1.00),fully cooked (0.69),none,none,none
How do I dry bread cubes for stuffing?,bread cubes for stuffing (0.99),none,none,none,none,none
What is the basic difference between cookies and biscuits?,cookies and biscuits (1.00),basic (0.58),none,difference (0.59),none,none
Can you make sticky rice with basmati rice?,sticky rice with basmati rice (1.00),none,none,none,none,none
How do I broil lamb chops in an oven?,lamb chops in an oven (0.99),none,none,bro (0.58),none,none
What microorganism is used in bread making?,bread making (1.00),none,none,microorganism (0.95),none,none
How can you incorporate leftover broccoli into other recipes?,leftover broccoli into other recipes (1.00),none,none,none,none,none
How can I make pizza at home without flour?,pizza (1.00),none,none,flour (1.00),none,none
Is blue cheese made from blue cows?,blue cheese made from blue cows (0.98),none,none,none,none,none
What do you do with leftover puff pastry after cutting out shapes?,leftover puff pastry after cutting out shapes (0.99),none,none,none,none,none
Why is my homemade simple syrup brown?,homemade simple syrup brown (1.00),none,none,none,none,none
How do I make oatmeal sweet without sugar?,oatmeal sweet (1.00),none,none,sugar (1.00),none,none
Which spices do well in both sweet and savory recipes?,both sweet and savory recipes (0.99),none,none,spices (0.93),none,none
How does the “Patty Cake” song go?,“ patty cake ” song (1.00),none,none,none,none,none
How do you make thick crust pizza?,thick crust pizza (1.00),none,none,none,none,none
Are there any good low-fat recipes for chocolate cheesecake?,low - fat (1.00),chocolate cheesecake (1.00),none,none,none,none
What places sell fun shaped baking pans (the overall shape of the pan not several molds in the pan)?,fun shaped baking pans ( the overall shape of the pan not several molds in the pan ) (1.00),none,none,none,none,none
What is the brand of good yeast for cooking or baking in Bangladesh?,good yeast for cooking or baking (1.00),bangladesh (0.98),none,none,none,none
What is the frustrating aspect of baking?,frustrating (0.75),none,none,baking (0.85),none,none
Is Arm & Hammer Baking Soda really meant for food? The name and logo doesn’t fit for baking food.,arm & hammer baking soda (1.00),food (1.00),and logo (0.99),baking (0.79),name (0.57),none
Do eggs added to dough help with rising?,eggs (0.79),none,none,rising (1.00),added to dough (0.89),none
What foods do you like to bake in your air fryer?,##ke in your air fryer (0.91),none,none,ba (0.35),none,none
"If I cook a cake the night before my party, how should I store it?",cake (1.00),party (0.74),night (0.37),none,none,none
What type of cake should I make for my husband?,cake (1.00),husband (0.50),none,none,none,none
How do I make a Coca-Cola slush?,coca - cola slush? (1.00),none,none,none,none,none
My scale has a “milk ml” and a “water ml” mode. I measure everything in grams but need to measure oil in ml. How do I weigh 19ml olive oil. Which mode should I pick?,19ml olive oil (1.00),“ water ml ” mode (0.93),“ milk ml ” and (0.92),grams (0.89),none,none
What can you do with overcooked simple syrup?,overcooked simple syrup (0.96),none,none,none,none,none
How do I flatten meat without a mallet?,meat (1.00),none,none,a (1.00),mallet (1.00),none
What are some interesting ways to cook eggs?,eggs (1.00),none,none,interesting (0.77),none,none
Why does my baked custard taste eggy?,baked custard taste eggy? (1.00),none,none,none,none,none
What’s the baking soda method? How much time between the last time I used and when I do the method will it work?,baking soda method (1.00),time between the last time (0.90),used (0.80),method (0.58),none,none
