utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
"Besides ketchup, what else do you dip French fries in that is delicious?",french fries in that is (0.90),none,none,ketchup (1.00),delicious (0.67),none
Why do people eat shrimp with their heads on?,shrimp with their heads on (1.00),none,none,none,none,none
Can a doctor consume a quantity of red meat?,doctor (0.90),quantity (0.73),red meat (1.00),none,none,none
How do you eat?,none,none,none,none,none,none
How can you get nutrients without eating fruits and vegetables?,nutrients (0.99),and vegetables (0.93),none,eating fruits (0.96),none,none
Is it right to eat fried eggs and bread for dinner?,fried eggs and bread for dinner (1.00),none,none,none,none,none
Can dogs eat fermented milk?,dogs (1.00),fermented milk (1.00),none,none,none,none
I'm Asian and prefer using a fork over chopsticks. Am I a rarity?,fork over chopsticks (1.00),##rity (1.00),none,ra (0.84),none,none
What is a list of fruits with many seeds?,fruits with many seeds (1.00),none,none,none,none,none
What happens when you eat more than your body needs for energy?,than (0.38),body (0.41),none,energy (0.90),none,none
How often do you eat ice cream?,ice cream? (1.00),none,none,none,none,none
Is processed food like sweet potato wedges just as bad as regular potato wedges without all the added things like E numbers and extra salt and stuff?,processed food (0.85),sweet potato wedges just as bad as regular potato wedges (1.00),the added things like e numbers and extra salt and stuff (0.91),all (1.00),none,none
Is Crocodile or Alligator meat very tasty? What does it taste like? How commonly eaten and how expensive to order at a restaurant? How compared to snake meat? Does it make you sick?,crocodile or alligator meat (1.00),tasty (0.98),it (0.98),how (0.43),it (0.73),none
Which plastic containers are microwave safe?,plastic containers (0.99),microwave safe (0.93),none,none,none,none
What do you think of people who allow their children (say 11 years old) to eat adult-sized meals and desserts in restaurants?,( say 11 years old ) (1.00),adult - sized meals and desserts (1.00),none,children (0.75),restaurants (0.93),none
What is the salt and ice diet?,salt and ice (1.00),none,none,none,none,none
What can I eat when I am positive in corona?,? (0.92),none,none,corona (1.00),none,none
I'm a 15 years old girl and I stopped eating meat in February but my skin condition has gotten so much worse. I have more acne than I used to and my cheeks get red all the time. Does somebody know why?,15 years old girl (1.00),meat (0.99),february (0.77),skin (0.45),worse (0.37),acne (1.00)
What is the maximum number of hot pockets that is acceptable to eat in one day?,hot pockets that (1.00),acceptable (0.68),eat in (0.79),none,none,none
Is it good to eat eggs every day on a keto diet?,eggs every day on (1.00),keto diet (0.93),none,none,none,none
What are some foods I should order for my boyfriend from overseas on Uber to make him feel loved?,boyfriend from overseas on uber (0.82),feel (0.49),loved (0.66),foods (0.57),none,none
What do you put in party food boxes?,party food boxes (1.00),none,none,none,none,none
Why does Cheese have the reputation of causing very bad dreams? How it is logically possible that Cheese does cause nightmares or bad dreams? Which other foods cause bad dreams too and how compared to cheese?,cheese (0.98),very bad dreams (1.00),it (0.61),other foods (0.63),cheese (0.94),none
What will happen if I eat five pounds of uncooked rice and chug a gallon of boiling water?,five pounds of uncooked rice and chug a gallon of boiling water (1.00),none,none,none,none,none
Is it unhealthy to eat mushrooms that grow from your pillow?,mushrooms that grow from (1.00),pillow (0.92),none,##health (0.54),none,none
"If someone swallowed the spiciest pepper, would it still be spicy after being pooped out or do the spicy properties subside after digestion?",spiciest pepper (1.00),it still (0.79),spicy after being pooped out (0.99),spicy (0.55),digest (0.97),none
How long does it take to wait for Uber Eats delivery?,uber eats delivery (1.00),none,none,none,none,none
What fruit was eaten by Adam and Hawa?,fruit (0.85),and hawa? (0.87),none,adam (0.59),none,none
"Is there any support in the Jewish community for eating poultry with dairy, since birds don't make milk, and thus, it only violates an arbitrary rabbinic decree, and not the eternal Torah?",jewish community (0.94),"poultry with dairy, since birds don't (0.87)",milk (0.85),eternal (0.83),none,none
How can I make cornbread in my air fryer?,cornbread in my air fryer (1.00),none,none,none,none,none
"When dating, should couples split the bill while out to eat?",the (0.99),bill while out (0.94),none,eat (0.84),none,none
"Do you believe your ancestral heritage, culture, and/or ethnic background influences your food choices?","ancestral heritage, culture, and / or ethnic (0.98)",food (0.58),none,background (0.50),choices (0.72),none
What should I eat late at night if I get hungry? I am trying to be healthy.,healthy (0.87),none,none,none,none,none
I eat 1000 calories a day and I count my calories. Is that enough? I’m 12 years old.,1000 calories a day (1.00),calories (0.98),none,none,none,none
"In English, if you say that a dish is ""quite nice ""actually"""" does that mean you didn't expect it to taste good, but to your surprise it does?",dish (1.00),""" quite nice "" actually "" "" (0.79)",none,good (0.75),none,none
Can vegetarians make up every single nutrient they sacrifice by not eating meat? Or is there any nutrient that they HAVE TO sacrifice?,vegetarian (0.50),single nutrient (0.77),none,not (0.88),eating (0.51),meat (0.95)
"How would a starving person react to suddenly having a lot of food? I'm writing a story, and I've read some, where they start eating a ton, but others where they are reluctant to eat a lot. Which would be more realistic?",starving person (1.00),having (0.53),lot of food (0.78),", (0.99)",eat (0.93),realistic (0.48)
Why am I always feeling super thirsty after eating at buffets? Is it due to the salt content or the MSG?,thirsty after eating (0.57),buffets (0.95),none,the (0.99),salt content or the msg (0.73),none
What is the best way to store banana nut bread?,banana nut bread (1.00),none,none,none,none,none
Is it OK to breastfeed in areas in which eating is expressly prohibited?,##fe (0.49),areas (0.80),none,breast (0.84),eating (1.00),expressly prohibited (0.87)
Are people who empty their meal plates in restaurants considered normal?,meal plates in restaurants (0.98),none,none,normal (0.71),none,none
"Eating has become a pointless endeavor over the past couple of months. I usually only drink a cup of juice and eat maybe one half of a sandwich and some fruit or granola. I feel perfectly fine, but my husband is a bit worried. What do I do?",pointless (0.87),couple (0.42),months (0.36),fruit or (0.84),none,none
How many types of watermelons exist?,##melons (1.00),none,none,water (0.81),none,none
"I’m 14, weigh 100lbs, and I’m 5’3. I’m turning 15 soon and still haven’t had my period and I’m barely a 32A bra size. I eat alot of healthy food and get about 3000 calories a day. What do I do?",100lbs (0.78),’ 3 (0.97),soon (1.00),period (0.94),3000 (0.81),none
At what temperature does the collagen in pork break down?,collagen in pork break down (1.00),none,none,none,none,none
Is it wrong to eat dolphin meat?,dolphin meat (1.00),none,none,none,none,none
Why do I feel more anger and aggression when weight training on a meat diet than on a vegetable diet?,meat (1.00),vegetable (0.91),none,anger and aggression when weight training (0.85),none,none
What makes rice from a Chinese restaurant sticky?,rice from a (0.98),chinese restaurant sticky? (1.00),none,none,none,none
I have not been hungry in 3 days. Is this normal?,3 (0.67),normal (0.51),none,days (0.37),none,none
What does it mean giving food to mad people?,food (0.99),mad people (0.99),none,none,none,none
"My dad won’t buy me food, all I get is a room. What do I do?",food (1.00),none,none,room (0.89),none,none
What is the most efficient and cost effective way for someone new to wine to taste a large cross section?,most efficient and (0.83),effective (0.90),large cross section (0.98),cost (0.78),wine (0.99),none
Is it bad for a dog to eat raw pizza?,dog (1.00),eat raw pizza (0.90),none,none,none,none
How long is Lactaid milk good for?,lactaid milk (1.00),for (0.79),none,none,none,none
How long does cake last in the fridge?,cake (1.00),fridge (0.57),none,none,none,none
What is the worst pizza topping you have eaten at a pizzeria?,worst pizza topping (0.94),at (0.46),pizzeria (0.99),none,none,none
Is hotel food harmful during pregnancy?,pregnancy (0.37),none,none,hotel food (0.99),none,none
"What effect would it have on your health to eat maggot infested meat, and have you ever done it?",maggot infested meat (1.00),none,none,none,none,none
Did the Prophet Muhammad eat fish?,prophet muhammad (0.98),fish (1.00),none,none,none,none
Is it a good idea to fast all day and not eat until dinner?,fast all day and not eat until dinner (0.85),none,none,none,none,none
Is picky eating a result of parenting methods during mealtimes?,picky (0.99),parenting methods during mealtimes (0.88),none,none,none,none
What will happen if someone drinks expired bottled water?,expired bottled water (1.00),none,none,none,none,none
Why do Westerners/white people eat dassie?,westerners / white people (1.00),dassie? (1.00),none,none,none,none
"Why don’t chefs wipe their knives after sharpening? I’ve sharpened knives before, and I’ve noticed metal dust when wiping the knife afterward?",chefs (0.88),knives after sharpening (1.00),knives (0.47),metal dust when (0.92),none,none
What does vinegar do to pastry dough?,pastry dough (1.00),none,none,vinegar (1.00),none,none
Is there a smoothie diet for vegans?,smoothie (1.00),vegans (1.00),none,none,none,none
Will there be peace on Earth when man no longer eats meat?,peace (0.41),none,none,man (0.38),meat (1.00),none
"Using team development stages model, descibe the steps for the formation of a temporary team which is formulated to establish a food chain franchise in your city?",development stages (0.95),temporary team (1.00),formulated (0.52),team (0.85),model (0.84),none
How do vegans eat their sourdough bread?,vega (1.00),sourdough bread? (0.93),none,none,none,none
"Why won't my cat eat meat? She eats dry cat food right now and she is one and a half years old. She won't eat any kind of meat, cooked or raw, but she will eat vegetables, fruits and other things.",cat (0.97),meat (1.00),dry cat food (1.00),none,none,none
Why is my dog not eating her dog food but likes to eat human foods? She's not sick by the way.,dog (0.88),dog food (1.00),human foods (0.80),sick by (0.47),none,none
What is the busiest Chick-Fil-A restaurant in the USA?,busiest chick - fil - a restaurant (0.99),usa (0.83),none,none,none,none
What is the most a restaurant has ever done for you after messing up your order?,restaurant (1.00),ever (0.30),order (0.62),most (0.49),none,none
"Which produces heat in the body, chicken or mutton?","body, chicken or mutton? (0.97)",none,none,heat in (0.70),none,none
What are food cravings and how do they work?,food (0.98),none,none,cravings (0.69),they (0.42),none
What foods contain the highest healthy chemical potential energy levels?,foods (0.91),highest (0.68),none,healthy chemical potential energy levels (0.97),none,none
Why do you whip egg whites for an angel food cake?,egg whites for an (0.99),angel food cake (1.00),none,none,none,none
Do you like ice cream soda?,ice cream soda (1.00),none,none,none,none,none
Is hunger truly the best sauce?,truly (0.57),the best sauce (0.99),none,none,none,none
"If you have worked at any fast food chain, what are some things customers aren't aware of?",fast food chain (1.00),none,none,customers (0.71),none,none
What products contain hidden sugar?,products (0.36),none,none,hidden sugar? (0.98),none,none
How many calories are in a coffee frappuccino?,##ories (1.00),coffee frappuccino? (1.00),none,cal (1.00),none,none
How do I stop my parents from forcing me to eat lots of food?,lots of food (0.99),none,none,none,none,none
How much CO2 is released from 1 kg of beef?,1 kg of beef (0.97),none,none,co2 is released from (0.89),none,none
How long without food until I pass out?,none,none,none,food (1.00),none,none
What is a food that starts with n?,food (1.00),none,none,n? (0.97),none,none
What food has the highest amount of Omega-3?,food (0.75),highest (0.71),none,amount (0.85),omega - 3? (1.00),none
"What foods make you wonder ""who was the first crazy person to taste that?""",""" (0.37)",first crazy person (0.82),that (0.76),foods (0.65),none,none
"How do I cook a wolf in Seattle, WA?","wolf in seattle, wa (1.00)",none,none,none,none,none
Why do South Koreans prefer to eat their food while it's still too hot?,south koreans (0.99),food (0.53),it (0.99),none,none,none
My next door neighbor has a huge tomato plant that has nice tomatoes hanging into my yard. Should I pick them or would that be wrong?,next door (0.99),huge tomato plant that has nice tomatoes hanging (0.98),yard (0.33),none,none,none
How many chicken wings are 3 oz?,chicken wings are 3 oz? (1.00),none,none,none,none,none
Do even the poorest people in the United States of America have unlimited access to food? Does the government there provide free meals to every family that requests it?,poorest people (0.99),united states of america (0.90),government (0.33),food (1.00),none,none
How do I eat poo for beginners?,poo for beginners? (1.00),none,none,none,none,none
What is the most classic street food in Italy?,most classic street food (0.87),italy (0.56),none,none,none,none
Is hospital food any good?,hospital (0.70),none,none,food (0.52),none,none
Is it safe to eat uncooked bacon?,uncooked bacon? (0.93),none,none,none,none,none
What foods are cheaper to make at home than to buy already made?,foods (0.85),already made (0.77),none,none,none,none
Do you need to dry tomato seeds from your bush to grow a new plant or can you plant a freshly picked tomato that has the seeds exposed in the dirt?,tomato seeds from your bush (1.00),new plant (1.00),freshly picked tomato (1.00),the (0.42),seeds (1.00),exposed (0.54)
Can we eat broken milk?,broken milk (1.00),none,none,none,none,none
Can I eat chocolate on a low-carb diet?,chocolate (1.00),low - carb diet (1.00),none,none,none,none
At what age should you cull your roosters to get the best meat?,roosters to get the best meat (0.99),none,none,none,none,none
Should I tip a pizza from Pizza Hut? Why?,pizza from pizza hut (1.00),none,none,none,none,none
Has anyone known to sterilize plant-based meat? Is it the same as how we sterilize conventional meat? I am looking for heating treatment for plant based meat.,##ril (0.55),plant - based meat (1.00),sterilize conventional meat (0.87),ste (1.00),##ize (0.72),heating (0.98)
Similar eggs have gone all frozen from the fridge. How do I make them soft again?,similar eggs (0.78),frozen from the fridge (0.80),soft again (0.96),none,none,none
What are the benefits of eating canned tuna?,canned tuna (1.00),none,none,none,none,none
Do you share your lunch with your siblings?,lunch (1.00),siblings (0.44),none,none,none,none
Are Doritos halal? Why or why not?,do (0.99),##ritos halal? why or why not (0.81),none,none,none,none
How much wasabi would kill me?,none,none,none,wasabi (1.00),none,none
What's the best way to get an egg off your windows?,egg off your windows (1.00),none,none,none,none,none
"Do African American citizens have the same access to fiber, nutrients, and fruits and vegetables as white (non African decent) citizens?",african american citizens (0.99),nutrients (0.69),white ( non african decent ) citizens (0.92),"fiber, (0.96)",", and fruits and vegetables (0.87)",none
"Given the fact that dining out/ordering food is very expensive in Greece, while the actual average wage there is around 300 euros per month, how are restaurants and fast food businesses able to operate in Greece?",dining out / ordering food (1.00),very expensive in greece (0.99),actual average wage there (0.97),300 (0.47),none,none
Can a pancake mix substitute for a cake mix?,pancake mix (1.00),cake mix (0.93),none,none,none,none
Do the French fix different foods for children the way Americans give the kid mac and cheese instead of what everyone else is eating?,french fix different foods (1.00),children the way americans give the kid mac and cheese instead of what everyone else (0.97),none,none,none,none
What should you eat if you're up late at night and hungry?,late (0.44),none,none,night (0.34),hungry (0.53),none
"Why do people assume I am vegetarian just because I don't eat meat often? I still eat meat, I just don't eat it in every meal.",meat (0.64),meal (0.77),none,meat often (0.99),it (0.63),none
"How do we feel about bringing babies to eat in restaurants? Looking to hear from parents, servers, fellow diners, etc.",babies to eat in restaurants? (1.00),"hear from parents, servers, fellow diners (0.91)",etc. (0.74),none,none,none
Is Canadian food similar to American?,canadian food (0.95),? (0.98),none,american (0.94),none,none
Why does Oreo crème taste so good?,oreo creme taste (1.00),good (1.00),none,none,none,none
Why do Greek potatoes taste different (and better) from American potatoes?,greek potatoes taste different ( and better ) from american potatoes (0.97),none,none,none,none,none
Would you take a potato chip and eat it?,potato chip (1.00),it (1.00),none,none,none,none
My spouse is gaining weight after marriage and I'm the only one who cooks. He puts the blame on me and my food. What can I do?,none,none,none,weight (0.97),marriage (0.72),food (0.89)
What happened to the orange popsicles with vanilla ice cream inside?,orange popsicles with vanilla ice cream inside (1.00),none,none,none,none,none
How do you cook when you don't like cooking?,when (0.94),none,none,cooking (0.94),none,none
What are the worst foods for sugar?,worst (0.81),none,none,sugar (0.84),none,none
What is the best way to reuse a plastic milk jug?,plastic milk jug (1.00),none,none,none,none,none
How long after wisdom teeth removal can you eat sushi?,removal (0.70),sushi? (1.00),none,wisdom teeth (0.81),none,none
Why is sweet tea so popular in the South?,sweet tea (1.00),south (0.66),none,none,none,none
How rare can you eat a steak?,steak (1.00),none,none,none,none,none
How long after butchering would meat go bad if left out?,meat go bad if left out (1.00),none,none,butcher (0.87),none,none
"I tried the Paleo diet. After 3 days, I no longer had a sweet tooth or any urge to drink alcohol or eat junk food. Is this common?",paleo (1.00),days (0.72),alcohol or (1.00),3 (0.58),sweet tooth or any urge (0.84),junk (0.49)
Is it dangerous for a dog to eat yeast dough?,dog (1.00),yeast dough (0.99),none,none,none,none
What is your country's version of Spanish tapas?,spanish tapas? (0.98),none,none,none,none,none
Can't the Northern Ireland Jewish community obtain kosher foods and ingredients from the Republic of Ireland instead of getting them from Great Britain?,northern ireland jewish community (1.00),kosher foods and ingredients from the republic of ireland (1.00),them (0.56),none,none,none
Have you ever walked out of a restaurant after you were seated by a waiter or waitress?,restaurant (1.00),seated (0.66),or (0.81),waiter (0.85),waitress (0.52),none
"Why does lettuce get ""rusty red""? Is it okay to eat it?",lettuce (1.00),""" rusty red ""? (0.92)",it (0.99),none,none,none
What should you eat when you're tired of cooking?,none,none,none,cooking (1.00),none,none
What are the best foods to prevent acne for a vegan?,acne for a vegan (1.00),none,none,none,none,none
Why do people seem to think all fast food workers want $15 an hour?,all fast food workers want $ 15 an hour (0.93),none,none,none,none,none
Has a type of ice cream ever been marketed that contained crunchy bacon bits mixed with vanilla or French vanilla ice cream?,ice cream (1.00),contained crunchy bacon bits mixed with vanilla or french vanilla ice cream (1.00),none,none,none,none
Will consuming high-quality olive oil daily help a person live a long healthy life?,high - quality olive oil daily (1.00),long healthy life (0.99),none,none,none,none
Am I the only one who disliked meat before even knowing where it comes from? I thought kids were supposed to be picky eaters.,meat (0.87),kids (0.99),picky eaters (0.98),before (0.60),even knowing where it comes from (0.55),none
How do I make Captain D's fish batter?,captain d's fish batter (1.00),none,none,none,none,none
What does a cherry plum taste like?,cherry plum (1.00),none,none,none,none,none
Do you need to eat fish to get DHA?,fish to get dha (1.00),none,none,none,none,none
"You are sleeping, you are hungry, and you have butter cheese and juice in the fridge. What is the first thing you will open?",first thing (0.35),none,none,butter cheese and juice in the fridge (0.96),none,none
What foods are unhealthy to eat after being vaccinated against rabies?,foods (0.86),unhealthy (0.62),after being vaccinated against rabies (0.97),eat (0.36),none,none
What is the difference between sour cream and mayonnaise?,sour cream and mayonnaise? (1.00),none,none,none,none,none
Is it safe to store dry food in plastic containers?,dry food in plastic containers (1.00),none,none,none,none,none
What is dimorace?,dimorace (0.63),none,none,none,none,none
What is the rudest thing someone has done or said when you have hosted/cooked for them?,rudest thing (0.70),when (0.52),/ (0.57),done or said (0.38),hosted (0.60),cooked (0.41)
"When eating BBQ pork, do you want the meat to be shredded/chopped, pulled, small chunks or sliced?",bbq pork (1.00),meat (1.00),"be shredded / chopped, pulled, small chunks or sliced (1.00)",none,none,none
Are humans going to have to eventually become vegetarian? Should I do it now? (I’m honestly undecided on this and here to be convinced by sensible arguments),none,none,none,##ecided (0.37),this (0.87),sensible arguments ) (0.98)
What is that one food that you remember that made you fat?,one (0.44),fat (0.50),none,food (0.68),none,none
How long can a McDonald’s hamburger sit out before it actually tastes spoiled?,long (0.50),mcdonald ’ s hamburger sit out (1.00),it actually tastes spoiled (0.97),none,none,none
Can diabetics eat at Subway?,diabetics (0.92),subway (0.93),none,none,none,none
I want to gain muscle and lose fats at the same time. Should I cut my food portion in daily meals?,muscle (1.00),##s (0.78),same (0.61),fat (0.74),none,none
Why is giving up junk food so hard?,junk food (1.00),none,none,none,none,none
What happens if you cook with an unseasoned cast iron pan?,none,none,none,unseasoned cast iron pan (0.96),none,none
Is it okay to eat mango at night?,mango (1.00),none,none,none,none,none
How do you detox your body after eating junk food?,det (0.78),body after eating junk food (0.94),none,none,none,none
What are the food that helps to lose weight faster?,weight faster (0.76),none,none,food (0.99),none,none
What's the green stuff people eat with fish and chips? Is it guacamole?,green stuff people eat with fish and chips? (1.00),it guacamole? (0.93),none,none,none,none
What kind of animal likes to eat bananas at night? A certain animal is stealing and eating bananas from our house location in Bhagalpur (Bihar).,animal (0.51),bananas (1.00),night (0.98),b (0.33),none,none
"I don't eat non-veg but cook non-veg food for my in-laws, does it effect my spiritual growth?",non - veg (1.00),non - veg food (1.00),in - laws (1.00),none,none,none
"Do cats really prefer eating from the food container rather than from their bowl? If that’s not unusual, how do I get my cat to eat from the bowl itself?",cats (1.00),from the (0.87),food container rather (0.79),eating (0.59),unusual (0.25),none
Is cheddar on Philly cheese steaks relatively good?,cheddar on philly cheese steaks relatively good (0.98),none,none,none,none,none
Were nuts considered unhealthy in the past?,unhea (0.58),##y (0.53),none,nuts (0.48),##lth (0.38),past (0.50)
What foods are good after radiation exposure?,foods (0.83),good (0.46),none,after (0.35),radiation exposure (0.80),none
What foods are high in natural sugar?,foods (0.97),none,none,natural sugar? (1.00),none,none
How much uncooked rice makes 1 cup cooked?,1 cup cooked? (1.00),none,none,uncooked rice makes (0.87),none,none
Is it okay to eat burgers from McDonald's on keto diet if you order it without the bun and any condiments with carbs?,burgers from mcdonald's on keto diet (1.00),and any con (0.93),##s with (0.92),the bun (0.73),##diment (1.00),car (0.97)
How can eating Takis kill you?,none,none,none,takis (0.98),none,none
What types of chicken pieces make up an 8-piece KFC chicken bucket?,pieces (1.00),8 - piece kfc chicken bucket (1.00),none,chicken (1.00),none,none
What should be eaten during Thursday Fast?,thursday fast (0.95),none,none,none,none,none
"How do I skip dinner when my parents make me eat it? I find ways to skip other meals, but I feel disgusting when I eat dinner. (Please just give me answers-i know it isnt healthy but I feel so fat and I need ways to skip dinner)",dinner (1.00),it (0.63),other (0.45),disgusting (0.69),it (0.56),healthy (0.53)
Which cultures completely avoid meat consumption?,none,none,none,meat consumption (1.00),none,none
I feel full and hungry at the same time. What should I do?,none,none,none,none,none,none
What is Jaehyun's favorite food?,jaehyun's favorite food (1.00),none,none,none,none,none
How did you deal with a coworker eating your food?,coworker eating your food (1.00),none,none,none,none,none
What are the best Chinese snacks?,the best chinese snacks (1.00),none,none,none,none,none
Which eating habit is ordinary in your country but strange in the rest of the world?,eating (0.93),ordinary (0.55),country (0.35),habit (0.79),strange (0.34),none
How much should I charge for my meal prep plan? It includes 6 meals and is very healthy.,meal prep plan (1.00),meals (0.99),none,6 (1.00),healthy (0.66),none
What happens to the mind with consciousness after spiritual awakening?,mind with consciousness after spiritual awakening (0.89),none,none,none,none,none
Discuss the type and use of growth promoters feed additives in animal nutrition? What are your recommendations for using feed additives for milk enhancement in dairy and meat production in beef animals.,growth promoters feed additives in animal nutrition (1.00),feed additives for milk enhancement (1.00),and (0.99),type (0.65),dairy (0.82),meat (0.86)
What do I do if I don't want to share my food?,food (0.76),none,none,none,none,none
What do we call a person who cuts and sells meat?,meat (0.67),none,none,none,none,none
"My dad ate a pizza with a pound of cheese and a pound of peperoni and he eats alot of junk food, nobody can stop him from eating not even me and even when I try to tell him to stop he doesnt stop eating junk food and im worried what do I do?",pizza with a (1.00),of cheese and a pound of peperoni (1.00),eats alot of junk food (0.93),pound (0.53),nobody (0.54),not (0.77)
"How did 'kimchi', a type of food known to be eaten by peasants and those in famines due to its preservative quality, become the pride of Korea?",kimchi ' (0.98),type of food (0.88),eaten (0.82),famine (0.97),its (0.55),preservative quality (0.97)
Is dark chocolate good or bad for your heart?,chocolate good or bad (0.61),heart (0.60),none,dark (0.94),none,none
What are healthy snacks that keep you full?,full (0.42),none,none,healthy snacks (0.69),none,none
"Will parboiling a potato with the skin on before I microwave it make it less lumpy? If so, how long should it be parboiled, or is there something better to get a quicker baked potato?",##bo (0.68),potato with the skin on before i microwave it (1.00),it less lumpy (1.00),par (0.98),par (0.99),none
What chain restaurant(s) does your spouse love?,chain restaurant ( (0.92),) (0.52),spouse love (0.80),s (0.62),none,none
"Is the term ""sea salt"" redundant? Doesn’t all table salt come from the sea?","sea salt "" redundant (0.99)",table salt (1.00),from (0.49),all (0.57),none,none
How long do you water bath salsa?,water bath salsa (1.00),none,none,none,none,none
Watching a YouTube video today I realised I had never tried goat meat. I’ve never seen it in a UK supermarket. Where/how could I get some? What does it taste like? Is it worth trying? What cut do I get?,youtube (1.00),goat meat (0.99),uk supermarket (0.93),? (0.99),trying (0.99),cut (0.68)
Why is tomato ketchup banned in France?,tomato ketchup banned (1.00),france (0.98),none,none,none,none
Have you ever tried coffee that tasted like it smelled?,coffee that tasted like it smelled (0.95),none,none,none,none,none
If I eat rice will my belly increase in size?,rice (0.94),belly (0.95),none,size (0.81),none,none
Does a cat need to eat rice?,cat (1.00),rice (1.00),none,none,none,none
Why do all Subways have a weird kind of chemical smell whenever you walk in? Is it some kind of preservative they put in their decrepit bread?,subways (1.00),weird kind of chemical smell whenever (1.00),in (0.83),none,none,none
Is it safe to eat oysters during pregnancy?,oysters (1.00),pregnancy (0.70),none,none,none,none
How can my food control my mood?,none,none,none,food (0.99),mood (0.50),none
"I have brownie mix but no eggs, what is the best substitute for the eggs?",best (0.60),eggs? (0.81),none,brownie mix (1.00),"eggs, what (0.90)",the (0.84)
Can you eat cake for dinner?,cake (1.00),dinner (0.84),none,none,none,none
Who eats rice with bananas?,rice with bananas (1.00),none,none,none,none,none
What's the problem with butter in Canada?,butter in canada (0.98),none,none,none,none,none
Are chicken wings healthy? Why or why not?,chicken wings healthy (0.82),why (0.27),why not (0.53),none,none,none
How can I get hungry in 5~10 minutes?,hungry (0.60),5 ~ 10 minutes? (0.90),none,none,none,none
My friends keep mocking me for being a vegetarian. How can I start eating meat?,meat (1.00),none,none,none,none,none
What foods shouldn't be eaten straight out of a can?,foods (0.93),eaten straight out of a can (0.96),none,none,none,none
What are the worst foods for belly fat?,worst (0.59),belly fat (1.00),none,none,none,none
What was the single best food or beverage you put into your mouth in recent memory?,single best food or beverage you put into (0.99),mouth (1.00),recent memory (0.96),none,none,none
"If you can only eat one vegetable, which one would give you the most nutritional value?",vegetable (1.00),one (0.53),most (0.44),nutritional value (0.85),none,none
How did the different civilisations learn to eat foods with dipping sauces?,different civilisation (0.90),foods with dipping sauces (1.00),none,none,none,none
I just got my 7-week-old pug. What food should I feed him?,7 - week - old pug (1.00),none,none,food (0.89),none,none
What happens when you eat too much icing?,too much icing (1.00),none,none,none,none,none
"If mangoes are slightly brown and soft inside, have they gone bad?",mangoes (1.00),slightly brown and soft inside (0.99),none,gone (0.68),bad (0.74),none
I'm 14 years old and a very picky eater. I don't like any fruits or vegetables except bananas. It hasn't been a health issue but it's just embarrassing. How can I bring myself to try new foods?,very (0.92),picky eater (0.92),or (0.68),fruits (0.99),vegetables except bananas (0.82),embarrassing (0.56)
Why do I feel so nauseated when I think about eating?,nausea (0.77),none,none,##ted (0.37),eating (0.93),none
How much watermelon is too much? I can eat 3-5 pounds a day while in season.,##melon is too much (0.96),3 - 5 pounds a day (1.00),none,water (1.00),season (0.74),none
"What would a fusion of pancakes, waffles, and French toast look like?",fusion (0.99),"pancakes, waffles, and french toast (1.00)",none,none,none,none
"Is it possible for an all-kosher diet to still be enjoyable and tasty, or is it too deprived?",all - kosher diet (1.00),be enjoyable and tasty (0.97),none,still (0.37),deprived (0.57),none
What does soaking onions in milk do?,soaking onions in milk do (0.97),none,none,none,none,none
Can I eat mushroom and milk together?,mushroom and milk together (1.00),none,none,none,none,none
What type of meat scares you the most?,none,none,none,meat (1.00),none,none
What is the most comforting smell in the world?,most (0.58),comforting (0.93),none,smell (0.29),none,none
How do you handle a situation where someone shows up empty handed to a potluck and then wants to leave with a load of leftovers?,empty handed to a potluck and then (0.97),none,none,leftovers (0.93),none,none
What is the historical background of Chinese people eating almost everything as a food?,chinese people eating almost everything as a food (0.94),none,none,historical (0.87),none,none
Is rancid olive oil bitter?,rancid olive oil bitter (1.00),none,none,none,none,none
Is it okay to eat a leftover burger after I refrigerated it and left it overnight?,leftover burger after i refrigerated it and left it overnight (1.00),none,none,none,none,none
How much sodium is in cream cheese?,cream cheese (1.00),none,none,sodium is in (0.96),none,none
"If you have 3 eggs for breakfast and you are 4 people, what would you do?",people (0.78),none,none,3 eggs for breakfast (0.92),4 (0.60),none
"If I ate 652 calories a day but ate lots of protein and nutrients, would I get sick?",652 calories a day but (0.96),lots of (0.89),and nutrients (1.00),protein (0.90),none,none
"Which should I take on day two of food poisoning? I am having bad nausea, Kaopectate or Gravol?",day two of food poisoning (1.00),"nausea, kaopectate or gravol? (0.99)",none,bad (0.99),none,none
What country in the world has the best food?,the best (0.61),none,none,food? (0.91),none,none
Is the Doritos Locos Taco authentic Mexican food?,doritos locos taco authentic mexican food (1.00),none,none,none,none,none
"Is it unhealthy to eat less than half of one meal per day? I'm 5'5"" and weigh 112 lbs, so I'm not thin. I really don't get that hungry. Besides, I've always had a mental aversion to food.",unhealth (0.56),less than half of one meal per day (1.00),"' 5 "" (0.98)",112 (0.51),mental avers (0.68),food (1.00)
Why do vegetarians try to shame people who eat meat when plants are alive too?,vegetarian (0.51),people (0.58),meat when plants are alive too (0.85),none,none,none
How do I make crispy onion cabbage pakora? https://youtu.be/vikNDXY0i2U,crispy onion cabbage pakora? https : / / youtu. be / vikndxy0i2u (1.00),none,none,none,none,none
