utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
What are some foods that taste better when prepared or cooked in a healthier way than an alternative?,foods (1.00),when prepared or cooked in a (0.93),##ier way than (0.83),better (0.86),health (0.89),alternative (0.66)
How do I cook fresh picked green beans?,fresh picked green beans? (1.00),none,none,none,none,none
"Is cooked oatmeal a good, occasional, evening meal entree?","cooked oatmeal a good, occasional, evening meal entree (0.97)",none,none,none,none,none
"What is the correct cooking term for making pancakes? It is not frying, baking, toasting.",correct cooking (0.45),pancakes (1.00),", (0.55)",frying (0.69),"baking, toasting (0.81)",none
"If you are going to cook a vegetable dish, what would be the pointer in cooking vegetables that you will exemplify?",vegetable dish (1.00),pointer in cooking vegetables (1.00),##em (1.00),ex (0.40),none,none
How do I cook fresh beets and greens?,fresh beets and greens? (1.00),none,none,none,none,none
What is a healthier option for cooking an eggplant that does not involve frying?,healthier (1.00),eggplant that does not involve (1.00),##ing (1.00),fry (0.97),none,none
"Is cooking with less oil, in general, better and healthier for your health? Why?",health (0.35),none,none,"less oil, in general, better and healthier (0.95)",none,none
What is your favourite way of cooking pan-seared sirloin steak?,pan - seared sirloin steak? (0.98),none,none,none,none,none
How do I cook a head of broccoli?,head of broccoli? (1.00),none,none,none,none,none
Which cooking method is healthiest for preparing vegetables?,vegetables (1.00),none,none,cooking (0.95),health (0.61),none
How do you not overcook bacon?,##cook bacon? (1.00),none,none,over (0.53),none,none
Is the entire organic foods industry a scam?,entire organic foods industry (1.00),scam? (1.00),none,none,none,none
Are canned chickpeas healthy?,chickpeas healthy (0.93),none,none,none,none,none
"Is there anything good you can cook with carrot tops, beet tops, or the other green tops of root vegetables?","with carrot tops, beet tops, or the other green tops of root vegetables (1.00)",none,none,none,none,none
How do you cook rice so it doesn't stick?,rice so it doesn't stick (0.96),none,none,none,none,none
How do you prepare couscous?,couscous? (1.00),none,none,none,none,none
"For frying, what is the healthiest oil I could use?",healthiest oil (1.00),none,none,none,none,none
What are the health benefits from using Tapioca flour in baked goods as opposed to white flour/all purpose flour? Is the former healthier than the latter?,tapioca flour in baked goods as opposed to white flour / all purpose flour (1.00),##ier (0.52),latter (0.60),health (0.50),former (0.85),health (0.85)
"Which edible oil is better for cooking: sunflower, canola, or olive?",oil (0.99),": sunflower, canola, or olive? (0.94)",none,edible (0.65),none,none
"Is eating ""heavy food"" like cooked meat in the morning harmful?","heavy food "" like cooked meat in the morning harmful (1.00)",none,none,none,none,none
What are some healthy ingredients to use on a weekly basis?,weekly basis (0.60),none,none,healthy ingredients (1.00),none,none
How do I use fresh cilantro in everyday foods and recipes?,fresh cilantro in everyday foods and recipes (1.00),none,none,none,none,none
"People always say after cutting fruits they lose nutrients, but how does that happen? What kinds of nutrients are lost?",cutting fruits they (0.72),none,none,after (0.41),nutrients (0.87),nutrients (0.94)
Are there any healthy recipes you personally enjoy making or recommend?,or (0.72),none,none,healthy recipes (1.00),making (0.39),recommend (0.49)
What are some quick easy dinner recipes to make?,quick easy dinner (1.00),none,none,none,none,none
What foods we can cook with less consumption of oil?,foods (0.89),none,none,less consumption (0.99),oil (1.00),none
What are some good spaghetti recipes?,good spaghetti recipes (0.84),none,none,none,none,none
What are some keto sauces I can make?,keto sauces i (1.00),make (0.99),none,none,none,none
What is an easy 30 minutes or less recipe that costs under $10 and that can feed a family of four?,easy 30 minutes or less recipe that (0.95),$ 10 (1.00),family of four (0.83),none,none,none
What can I cook without meat?,without (0.97),none,none,meat (0.88),none,none
Are there any simple recipes a beginner should know?,beginner (1.00),none,none,simple recipes (0.97),none,none
What are the best things to add to a homemade omelette?,homemade omelette (1.00),none,none,none,none,none
What's the best choice for an healthy oil to cook eggs in (non-dairy)?,healthy oil to cook eggs in ( non - dairy )? (1.00),none,none,none,none,none
What is the secret to making perfect oatmeal?,perfect oatmeal? (1.00),none,none,none,none,none
When should garlic salt be used in recipes and when should garlic powder be used?,garlic salt (0.83),recipes (0.89),garlic powder (0.99),when (0.38),none,none
How do you tell if garlic cloves have gone bad?,garlic cloves have gone bad (1.00),none,none,none,none,none
Is there an available calorie difference between cooked and raw food?,available calorie difference between cooked and raw food (0.99),none,none,none,none,none
"I just want to eat steak for the health benefits. What is the fastest, most low maintenance way to cook it?",steak for the health benefits (1.00),"fastest, most low maintenance (1.00)",it (0.75),none,none,none
Does oatmeal need to be cooked prior to adding to a smoothie?,oatmeal (1.00),prior (0.62),smoothie (0.87),cooked (0.46),adding (0.88),none
What are some easy ways to make healthy meals?,healthy meals (1.00),none,none,easy (0.99),none,none
"What are some healthy, quick meal recipes or ideas?","healthy, quick meal recipes or ideas (1.00)",none,none,none,none,none
What are some healthy recipes for a good diet shake?,good diet shake (1.00),none,none,healthy (0.97),none,none
When is it best to cook vegetables?,vegetables (1.00),none,none,none,none,none
Do you know a good recipe for caramelized Brussels sprouts?,caramelized brussels sprouts (1.00),none,none,none,none,none
Can you kill mold by simply cooking it?,mold (1.00),none,none,none,none,none
What is a good substitute for lemon juice?,lemon juice (1.00),none,none,none,none,none
Would you cook healthy meals?,healthy meals (1.00),none,none,none,none,none
Is fried cabbage and bacon a good meal?,fried cabbage and bacon (0.87),meal (0.99),none,none,none,none
What is a good recipe for butter (infused) olive oil? I’m trying to make one at home from scratch.,butter ( infused ) olive oil (1.00),none,none,scratch (0.99),none,none
What are some tips for cooking potatoes?,potatoes (1.00),none,none,none,none,none
"What are the benefits, or side effects, of eating raw onions?",raw onions (0.98),none,none,side effects (0.99),none,none
What are some healthy and tasty ways to prepare meat?,meat (1.00),none,none,healthy and tasty ways (0.99),none,none
How thoroughly does steak need to be cooked to kill bacteria?,steak (0.99),cooked (0.77),kill bacteria (0.75),none,none,none
What veggies are extremely healthy but aren't healthy when they're cooked?,ve (0.75),##ggies (0.86),healthy (0.49),healthy (0.95),cooked (0.51),none
How do I make fish batter for frying?,fish batter for frying? (1.00),none,none,none,none,none
Should rice be covered while cooking?,none,none,none,rice (0.57),covered (0.76),none
How long does it take to cook fresh string beans?,fresh string beans? (1.00),none,none,none,none,none
What are some healthy and easy recipes with products we all have at home?,healthy and easy recipes with products (1.00),all (0.95),none,none,none,none
What is one cooking ingredient that you use the most for big meals?,the most for big meals (1.00),none,none,cooking ingredient (0.52),none,none
Are onions vegetables?,onions (0.43),vegetables (0.91),none,none,none,none
What's the best way to make stir fried shrimp with vegetables?,stir fried shrimp with vegetables (1.00),none,none,none,none,none
"Is it advisable to add the liquid from canned foods to a dish being cooked, in order to preserve nutrients?",liquid from canned foods to (1.00),dish (1.00),"cooked, (0.84)",nutrients (0.81),none,none
What is a good recipe for fried rice?,fried rice? (0.98),none,none,none,none,none
What is the best way to cook veggies without losing their nutrients?,veggies (1.00),none,none,losing (1.00),their (0.83),nutrients (1.00)
What is the hardest recipe to make?,hardest (0.96),none,none,none,none,none
How much of the oil used in cooking a dish should be counted towards the calorie count?,dish (1.00),none,none,oil used (0.96),counted towards (0.37),the calorie count (0.89)
Which foods still taste good when you are sick?,foods (0.81),none,none,good (0.89),none,none
"What are some easy, simple ingredient dinner recipes?","easy, simple ingredient dinner (1.00)",none,none,none,none,none
What is spicy food good for?,spicy food (1.00),none,none,none,none,none
How do I make butter chicken?,butter chicken? (1.00),none,none,none,none,none
What should I use for healthy cooking?,healthy cooking (1.00),none,none,none,none,none
What are some great KETO pasta recipes?,great keto pasta recipes (1.00),none,none,none,none,none
What are some diet-friendly recipes for 30-minute meals?,diet - friendly (0.90),30 - minute meals (1.00),none,none,none,none
How long will cloves of garlic stay fresh in the fridge?,cloves of garlic stay fresh in (0.95),fridge (0.95),none,none,none,none
What is a healthy meal of the week with a leftover idea?,healthy meal of the week with a leftover idea (1.00),none,none,none,none,none
How do you make chocolate chip cookies healthier?,chocolate chip cookies healthier? (1.00),none,none,none,none,none
Are fried potatoes worse than baked potatoes if the oil adds the same amount of calories?,fried potatoes (0.89),baked potatoes if the oil adds the same amount of calories (0.95),none,none,none,none
What are some good healthy easy recipes to make?,good healthy easy recipes (1.00),none,none,none,none,none
What is the healthiest way to cook food?,health (0.93),food (1.00),none,none,none,none
"When preparing a meal, what are some 'quick fixes' to turn the meal into something more healthy?",meal (1.00),' quick fixes ' (0.88),meal (0.98),to (0.59),healthy (0.96),none
"What is the cooking oil used in restaurants, and how bad is it?",cooking (0.59),restaurants (1.00),none,oil used (0.93),bad (0.56),none
"According to an NBC opinion piece, ""Potato salad recipes are sacred scripture in most families. But nobody agrees what it should say. After potatoes what are the key ingredients in your potato salad recipe?",nbc opinion (0.86),potato salad recipes (1.00),sacred scripture (0.88),potatoes (0.97),none,none
How do I cook beet greens with bacon?,beet greens with bacon? (1.00),none,none,none,none,none
Which vegetables are healthier when cooked?,vegetables (0.99),when cooked (0.55),none,healthier (0.56),none,none
Is there anything in bacon fumes that is bad for your health?,none,none,none,bacon fumes (1.00),health (0.63),none
What's your favorite leftover cooking advice?,favorite (0.94),leftover cooking advice (0.99),none,none,none,none
How do I make one serving of oatmeal?,serving (0.55),oatmeal? (1.00),none,none,none,none
How long is cooked broccoli good for?,cooked broccoli good for (0.94),none,none,none,none,none
What is the difference between brining and marinating?,brining and marinating (1.00),none,none,none,none,none
What are the best food recipes that include fruits?,the best food (1.00),none,none,fruits? (1.00),none,none
What are good substitutes for sherry?,sherry (0.79),none,none,none,none,none
Which foods do people think are healthy but are actually unhealthy?,foods (0.90),healthy (0.80),none,un (0.49),##healthy (0.50),none
What's the best way to cook plantains?,plantains? (1.00),none,none,none,none,none
Is cooking with bacon fat any worse or better for your health than cooking with lard?,worse or (0.40),better (0.26),health (0.74),bacon fat any (0.86),than (0.52),lard (0.68)
Is an air fryer healthier than a normal deep fryer?,air fryer healthier (1.00),normal deep fryer (1.00),none,none,none,none
What is the nutritional value of tomatoes?,tomatoes (1.00),none,none,nutritional (0.54),none,none
How do you know when your vegetables for a stir fry are cooked properly?,vegetables for a stir fry (1.00),cooked properly (0.91),none,none,none,none
"Serious chefs: What is the shortest list of oils you would keep on hand to cover most cooking and baking uses, and what is the main use for each oil?",chefs (0.88),shortest list of oils (0.92),cover most cooking and baking uses (0.90),hand (0.68),main (0.53),each (0.73)
"I left out pancakes with 1 egg and coconut milk inside for about 9 hours, can I still eat them?",pancakes with (1.00),and (0.76),inside (0.96),1 egg (0.85),coconut milk (0.61),9 (0.45)
How do you cook your leafy greens without losing their nutrients?,leafy greens (1.00),none,none,losing (1.00),their (0.96),nutrients (0.99)
Is it okay if my rice ends up hard? Is it over or under cooked?,rice (0.99),up hard (0.73),or under cooked? (0.60),over (0.71),none,none
How do I make meals for the week?,meals for the week (0.96),none,none,none,none,none
What is the best recipe that you can make with a steamer?,the best (1.00),with a steamer (1.00),none,none,none,none
What is the healthy way to eat sprouts - raw or boiled?,healthy (0.76),sprouts - raw or boiled? (1.00),none,none,none,none
Is black rice healthier than brown rice?,black rice healthier than brown rice (1.00),none,none,none,none,none
"Besides olive oil, what other cooking oils are known to be a good choice for healthier cooking?",cooking (0.51),##ier (0.66),none,olive oil (0.99),oils (0.97),health (0.99)
What is the difference between a garlic clove and a garlic head?,garlic clove and a garlic head (1.00),none,none,none,none,none
What are some easy made delicious food recipes?,easy made delicious food recipes (0.92),none,none,none,none,none
How can some leaves be tasty and healthy while most of them are meh?,tasty and healthy (0.74),them (0.47),##h (0.49),leaves (0.99),me (0.90),none
"Is it healthy to use COLD pressed, unrefined sunflower oil for cooking, and why?","cold pressed, unrefined sunflower oil (1.00)",why (0.41),none,cooking (0.58),none,none
What is the healthiest food for kids?,healthiest (1.00),kids (0.60),none,none,none,none
What is the healthiest way to cook vegetables?,health (0.84),vegetables (1.00),none,none,none,none
What are some healthy and filling snacks that are easy to make?,healthy and filling snacks that (0.91),easy to make (0.99),none,none,none,none
How can I make vegetables taste good — so that I eat more of them and eat more healthily?,vegetables taste good — (1.00),eat more of them (0.89),##ily (0.97),health (1.00),none,none
Which food items should never be consumed without cooking?,food (0.95),items (0.47),none,cooking (1.00),none,none
"Is spaghetti with squid ink a healthy choice ""black pasta""?",spaghetti with squid ink (1.00),"healthy choice "" black pasta "" (1.00)",none,none,none,none
How much corn do I need to make 1 litre of corn oil?,1 litre of corn oil? (0.97),none,none,corn (1.00),none,none
Why do we eat vegetables by cooking them?,vegetables (1.00),them (0.94),none,none,none,none
Which are the best chocolate flavoured desserts?,the best chocolate flavoured desserts (0.98),none,none,none,none,none
Is pork fried rice healthy?,pork fried rice healthy (1.00),none,none,none,none,none
Are there any healthy low carb meals that are easy to make and actually taste nice? All the meals I've tried either don't fill me up or are just meh with no taste.,healthy low carb meals (1.00),easy to make and actually taste nice (0.99),meals (1.00),me (0.53),taste (0.88),none
What are some cooking tips or hacks?,none,none,none,cooking tips or hacks (0.94),none,none
Can olive oil be mixed with refined sunflower oil while cooking?,olive oil (1.00),mixed with (0.87),sunflower oil (0.99),refined (0.71),cooking (0.54),none
Is polenta healthier than mashed potatoes?,polenta healthier than mashed potatoes (1.00),none,none,none,none,none
What is the cooking method which destroys nutrients?,cooking (0.95),none,none,nutrients (0.97),none,none
Is there a cooking book that basically just has the must know cooking tips?,cooking book (1.00),just (0.80),the (0.93),must (0.97),tips (0.94),none
Are there any delicious recipes that can be made out of soya chunks?,made out of soya chunks (0.98),none,none,delicious (0.77),none,none
What recipe is full of nutriment and easy to cook for late night work?,for (0.28),none,none,nutriment and easy to cook (0.99),late night work (0.99),none
What are some easy meals I can make for cheap?,easy meals (0.97),for cheap (0.81),none,none,none,none
What are some healthy recipes that I can make on a budget?,none,none,none,healthy recipes (0.88),none,none
"Does cooking meat actually increase its nutritional value? If so, how?",meat (0.74),none,none,nutritional value (0.90),none,none
What are the most versatile vegetables for cooking cheap but healthy meals?,vegetables (0.47),cheap but healthy meals (0.99),none,none,none,none
Are carrots healthier when raw or cooked?,carrots (0.98),healthier when raw or cooked? (0.85),none,none,none,none
What's the best way to cook liver with onions?,liver with onions? (1.00),none,none,none,none,none
What are some good recipes using bell peppers?,good (0.65),? (0.78),none,bell peppers (0.97),none,none
What could be a very easy recipe at no cost to consume leftover vegetables?,very easy (1.00),cost (0.66),leftover vegetables (0.93),none,none,none
"What is the difference between soy bean, soy and soy sauce?","soy bean, soy and soy sauce (1.00)",none,none,none,none,none
If you use an electric grill does the food taste as good as a charcoal grill outside?,electric grill (1.00),food (1.00),good (0.87),none,none,none
What ingredients would you suggest for a unique and delicious omelette?,unique and delicious omelette (1.00),none,none,none,none,none
How long is roasted garlic good for?,roasted garlic (1.00),for (0.67),none,none,none,none
Why is fish sauce considered good for you?,fish sauce considered (0.99),none,none,none,none,none
When is it better to use raw onions rather than cooked onions in recipes?,raw onions rather than cooked onions in recipes (1.00),none,none,none,none,none
Is it ok to leave cooked food in the fridge for 1 week?,cooked food in the fridge (1.00),1 week (0.76),none,none,none,none
Which cooking oil do you use for frying?,frying (0.98),none,none,cooking oil (0.94),none,none
What are the best low-fat recipes?,the best low - fat (1.00),none,none,none,none,none
How many pancakes is 1 serving?,pancakes (0.98),1 serving (0.89),none,none,none,none
What is your secret ingredient to make the best cake?,the best cake (1.00),none,none,secret (0.71),none,none
Which fruits have the highest vitamins?,fruits (0.94),none,none,highest (0.30),vitamins (0.94),none
Is it healthy to use oil in food?,in (0.55),food (0.72),none,oil (0.98),none,none
"What makes creating an aioli from scratch safe to eat, since it contains raw egg yolks?","aioli from scratch safe to eat, since it contains raw egg yolks (1.00)",none,none,none,none,none
How can I start cooking at age 15? What’s some easy beginner recipes?,’ (0.99),easy beginner recipes (1.00),none,none,none,none
What are the health benefits of sweet potatoes over normal white potatoes?,sweet potatoes over normal white potatoes (1.00),none,none,health (0.52),none,none
Is bread healthier than toast?,bread health (0.66),toast (0.80),none,none,none,none
What is the simplest recipe you know?,simplest (0.85),none,none,none,none,none
Can you freeze eggs raw or cooked?,eggs raw or cooked (0.88),none,none,none,none,none
What are some good dishes to serve with focaccia bread?,dishes (0.57),with focaccia bread (0.94),none,good (0.90),none,none
Are free-range eggs really better than normal ones?,free - range eggs really better than normal ones (0.99),none,none,none,none,none
"Which is more unhealthy, white rice or white bread?","##healthy, white rice or white bread (0.96)",none,none,un (0.94),none,none
Is bacon as unhealthy as it is tasty?,bacon (0.95),unhealthy as it is tasty (0.85),none,none,none,none
"Can you cook scrapple in the microwave? If so, how?",scrapple in the microwave? (0.98),so (1.00),none,none,none,none
Which bacon is healthier?,bacon (0.56),health (0.69),none,none,none,none
Are there advantages and disadvantages to eating garlic?,garlic (0.99),none,none,advantages (0.86),disadvantage (0.81),none
"What is your favorite recipe for a snack that is healthy, but satisfying?",snack (1.00),"is healthy, but (0.83)",none,satisfying (0.57),none,none
What are some of the best ways to cook and eat asparagus?,the best (0.99),eat asparagus (0.97),none,none,none,none
How long should I boil bones for a good broth?,bones for a good broth (0.99),none,none,none,none,none
Is avocado oil good for deep frying?,avocado oil (1.00),frying (1.00),none,deep (0.95),none,none
"Should I buy organic canned beans (black, pinto, kidney, etc.), or are non organic canned beans just fine?","organic canned beans ( black, pinto, kidney, etc. ), (1.00)",non organic canned beans just fine (0.97),none,none,none,none
What are some healthy omelette recipes?,healthy omelette recipes (1.00),none,none,none,none,none
What are some easy dump recipes?,easy dump (1.00),none,none,none,none,none
Why is chicken pot pie considered healthy for you?,chicken pot pie (1.00),healthy (0.91),none,none,none,none
What's the best type of oats to make oatmeal out of? What do you like to put in it?,the best type (0.98),oats to make oatmeal out of? (0.92),it (0.30),none,none,none
Are there any cooking ingredients you should never mix together for safety reasons?,together (0.27),none,none,cooking ingredients (1.00),safety reasons (0.69),none
What are some fruits used in cooking?,cooking (0.90),none,none,fruits used (0.97),none,none
What kinds or recipes can you add cooking sherry to to make it better or unique?,cooking sherry to to (0.93),it better or unique (1.00),none,kinds (0.50),none,none
What are some healthy recipes for a beginner?,beginner? (1.00),none,none,healthy (0.67),none,none
"What do you think of using beef/pork meatloaf mix, tossing in the appropriate seasonings for bratwurst, except the salt and making quick and easy brat patties?","beef / pork meatloaf mix, tossing in the appropriate seasonings for bratwurst, except the salt (1.00)",quick and easy brat patties (1.00),none,none,none,none
"Since a couple of years ago, I am into cooking, but I just cook whatever I like. I just mix different foods and herbs, thereby never using recipes. Could that be functional?",different (0.68),foods and (0.66),none,cooking (0.99),herbs (0.52),recipes (0.96)
Does the oven run continuously to cook food?,oven (0.83),food (1.00),none,none,none,none
How long does tofu last after being cooked?,tofu last after (0.84),cooked (1.00),none,none,none,none
What step in cooking has been proven to make no difference?,none,none,none,no difference (0.75),none,none
Does garlic turn bitter if cooked for too long?,garlic (0.62),bitter if cooked for too long (0.93),none,none,none,none
Is it possible to scratch non-stick surfaces with plastic cooking or cleaning tools?,non - stick surfaces with plastic cooking or cleaning tools (1.00),none,none,none,none,none
Is chili (with beans) reasonably healthy and nutritious as a meal option?,chili ( with beans ) reasonably healthy and nutritious as a meal option (0.99),none,none,none,none,none
What are some healthy dessert recipes?,healthy dessert (1.00),none,none,none,none,none
How fattening are potatoes?,potatoes (1.00),none,none,fatten (0.49),none,none
What low FODMAP ingredients can be substituted for garlic and onion but taste just as good?,low fodmap ingredients can be substituted for garlic and onion but taste (0.99),none,none,good (0.70),none,none
Which cooking oil is good for human health?,cooking (0.78),health (0.61),none,oil (0.90),human (0.49),none
Is it okay to eat instant oatmeal partially cooked?,instant oatmeal partially cooked? (1.00),none,none,none,none,none
What's the best way to defrost individual meat inside a package that got stuck together?,defrost individual meat inside a package that got stuck together (0.98),none,none,none,none,none
Are canned black olives a healthy snack option?,canned black olives (0.99),healthy snack option (1.00),none,none,none,none
Does cooking or processing reduce the fiber content in food?,fiber (0.61),food (0.91),none,cooking or (0.92),processing (0.62),content in (0.70)
"Food: If you buy fresh fish and accidentally leave it out at room temperature for 5 hours, then refrigerate, is it safe to cook later?",fresh fish (1.00),accidentally leave it out at room temperature for 5 hours (1.00),then refrigerate (1.00),food (0.98),later (0.49),none
Is it healthier to make mashed potatoes from scratch?,mashed potatoes from scratch (1.00),none,none,health (0.74),none,none
How do I cook beets from the garden?,beets from the garden (1.00),none,none,none,none,none
What are some good parsnip recipes?,good parsnip recipes (1.00),none,none,none,none,none
What are the benefits of eating a couple of boiled eggs every day after dinner?,couple of boiled eggs every day (1.00),none,none,dinner (0.92),none,none
How often do you use a recipe when cooking?,none,none,none,cooking (0.37),none,none
What are easy 30-minute main dish recipes for anyone on the go?,easy 30 - minute main dish (1.00),go (0.80),none,none,none,none
What are some other ingredients besides the usual that I could put in chili?,i could put in chili (0.90),none,none,ingredients (0.50),usual that (0.90),none
How do I get into the habit of cooking healthy foods consistently?,healthy foods consistently (1.00),none,none,none,none,none
What meal can you make that is foolproof?,meal (0.76),foolproof? (0.73),none,none,none,none
What is the secret to preparing perfectly cooked asparagus?,perfectly cooked asparagus? (1.00),none,none,none,none,none
"I’m a teen, have little time and not much cooking experience or a huge variety of ingredients. What are some simple but healthy recipes for dinner?",simple but healthy (1.00),dinner (0.99),none,time and (0.99),not much (0.74),cooking experience or (0.99)
What is the difference between green and yellow zucchini?,green and yellow zucchini? (1.00),none,none,none,none,none
"What are some delicious, fairly healthy chicken recipes?","delicious, fairly healthy chicken recipes (1.00)",none,none,none,none,none
Cooking food in aluminum vessels or having a meal in aluminum vessels are good for health?,food in (0.82),vessels (1.00),meal in aluminum vessels (1.00),aluminum (0.84),health (1.00),none
Is an air fryer healthier than deep frying food?,air fryer healthier than deep frying food (1.00),none,none,none,none,none
Does cooking foods at high temperatures destroy the nutrients?,foods (1.00),none,none,high (0.63),temperatures (0.40),nutrients (0.81)
Can you save vegetable oil after using it to fry?,vegetable oil (1.00),it (0.93),fry (1.00),none,none,none
"I've been slowly losing my appetite for meat for the last several weeks. Although I am an animal lover, I've never felt the need to be a vegetarian. What is happening?",animal lover (0.81),none,none,meat (1.00),weeks (0.34),none
How do I cook beet greens and stems?,beet greens and stems (1.00),none,none,none,none,none
How long does it take to cook red kidney beans?,red kidney beans? (1.00),none,none,none,none,none
I want to add veggies to my bread baking such as sweet potatoes. Are there any healthy recipes that work?,veggies to (1.00),bread baking such as sweet potatoes (1.00),recipes (1.00),healthy (1.00),none,none
"What is the difference, if any, between coconut oil for cooking and for hair?",difference (0.56),coconut oil for cooking and (0.85),none,any (0.25),for (0.70),hair (1.00)
Is deep frying one whole potato considered a single French fry or just a fried potato?,fry (1.00),whole potato considered a (0.92),single french fry or just (0.98),none,none,none
How can I cook crispy fried chicken at home?,crispy fried chicken (1.00),none,none,none,none,none
"How do I stop mince, and diced chicken, from sticking to the bottom of my pan when dry frying them? Is it much healthier to dry fry mince and chicken?","mince, and diced chicken, from sticking to the bottom of (1.00)",pan when dry frying them (1.00),fry mince and chicken (1.00),health (0.97),dry (0.99),none
How do I cook fish bones (ideally without oil)?,fish bones ( ideally without (1.00),) (0.99),none,oil (1.00),none,none
Is brown rice better than wheat for weight loss?,brown rice better (0.81),wheat for (0.93),loss (0.98),weight (0.90),none,none
What are some awesome S'mores recipes?,awesome s'mores recipes (1.00),none,none,none,none,none
What’s the most delicious meal you have cooked anyone?,most (0.98),delicious meal (0.68),anyone (0.47),none,none,none
"What is an easy, simple recipe for a beginner's vanilla cake?","easy, simple (1.00)",beginner's vanilla cake (1.00),none,none,none,none
How can you add rice to your daily diet?,rice (1.00),daily diet (0.82),none,none,none,none
What are three ways to find the best olive oil for cooking?,the best olive oil for cooking (1.00),none,none,none,none,none
Why is canned tuna totally different from fresh tuna (cooked)?,canned tuna totally different from fresh tuna ( cooked )? (1.00),none,none,none,none,none
Why do some people take out that little snow white part of the eggs when they are cooking? Do you remove it or don’t bother?,little snow white part of the eggs when they (1.00),cooking (0.97),’ (0.63),it (0.82),none,none
What are some healthy but very frugal recipes I could try?,healthy but very frugal recipes i (0.95),try (0.90),none,none,none,none
Is it safe to eat uncooked sweet potatoes?,uncooked sweet potatoes? (0.95),none,none,none,none,none
Is eating healthy more expensive?,healthy more expensive (0.86),none,none,none,none,none
What are some healthy meals you can cook for yourself for under five dollars?,healthy meals (0.92),for yourself for under five dollars (0.99),none,none,none,none
Is it safe to eat steak rare or medium rare?,steak rare or medium rare (1.00),none,none,none,none,none
"What is a suggested overnight oat recipe with the following ingredients: rolled oats, unsweetened soy milk, non-fat plain greek yogurt, real or dry fruits, and chia seeds?","suggested overnight oat recipe with the following ingredients : rolled oats, unsweetened soy milk, non - fat plain greek yogurt, real or dry fruits, and chia seeds? (1.00)",none,none,none,none,none
What are some unique recipes using zucchini?,none,none,none,unique (0.54),zucchini? (0.98),none
"What vitamins or nutrients in food, are destroyed by cooking heat?",food (0.99),none,none,vitamins (0.77),nutrients (0.90),", (0.33)"
How can I cook tasty food at low cost?,tasty food (1.00),cost (1.00),none,none,none,none
Does the temperature of a food affect its calorie count?,food (1.00),none,none,temperature (1.00),calorie count (0.87),none
What vegetables are often cooked incorrectly? How should they be?,vegetables (0.86),incorrectly (0.36),none,none,none,none
What are some tasty eggplant recipes?,tasty eggplant recipes (1.00),none,none,none,none,none
Is there a way you can cook without heat?,without heat (1.00),none,none,none,none,none
What is a fast and nutritious pasta recipe that you can make in about 30 minutes?,fast and nutritious pasta recipe that you can make in about 30 minutes (0.98),none,none,none,none,none
What are some unique Halloween recipes you'd highly recommend?,unique halloween recipes (0.99),highly recommend (1.00),none,none,none,none
What is brown rice syrup?,brown rice syrup (1.00),none,none,none,none,none
What is a healthy recipe for lasagna?,lasagna? (1.00),none,none,none,none,none
How do I cook dried red kidney beans?,dried red kidney beans? (1.00),none,none,none,none,none
What is the healthiest and tastiest way to cook Brussels sprouts?,healthiest and tastiest (1.00),brussels sprouts (1.00),none,none,none,none
"What are some simple, healthy recipes that don't involve veggies? My husband doesn't like green veggies, and it's almost impossible to find healthy, low-fat recipes.","simple, healthy recipes (1.00)",' t involve veggies (1.00),green veggies (1.00),none,none,none
What is your favorite recipe for canned green beans?,canned green beans? (1.00),none,none,none,none,none
What is the best way to cook healthy meals on a $200.00 Food Budget?,healthy meals on a $ 200. 00 food budget (1.00),none,none,none,none,none
What is the difference between upma and kichadi? How are both used in recipes?,upma and kichadi (1.00),recipes (0.44),none,none,none,none
Why did we go from being able to eat raw meat to needing to cook meat in order to eat it or else we’ll get sick?,raw meat (1.00),meat in (0.96),it (0.76),sick (0.86),none,none
What is the healthiest cooking oil in UK?,healthiest cooking oil in uk (1.00),none,none,none,none,none
How often do you use thyme in your recipes?,none,none,none,thyme in (0.86),none,none
What are some low-cost hummingbird food recipes?,low - cost hummingbird food recipes (1.00),none,none,none,none,none
What is the nutritional value of chickpea (garbanzo bean) skin?,chickpea ( garbanzo bean ) skin (1.00),none,none,nutritional (0.81),none,none
What low carb recipe can you share?,low carb (0.99),none,none,none,none,none
"What easy and ""healthy"" culinary recipe would you suggest during this period of confinement because of the Covid-19?","easy and "" healthy "" culinary recipe (0.94)",period (0.40),covid - 19 (0.92),confinement (0.41),none,none
Are Chick-fil-A grilled nuggets healthy?,chick - fil - a grilled nuggets healthy (1.00),none,none,none,none,none
