utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
Would it be weird/blasphemous to use roasted garlic instead of raw garlic in sauces and dressings?,weird / blasphemous to use roasted garlic instead of raw garlic in sauces and dressings (1.00),none,none,none,none,none
What's the best water temperature for making pizza dough?,the best water (0.99),pizza dough (1.00),none,none,none,none
What unexpected ingredient do you add to a dish?,dish (1.00),none,none,unexpected ingredient (0.97),none,none
Should I poke holes in steak before grilling?,holes (0.94),steak before grilling (1.00),none,none,none,none
"Do I need to change tongs, spoons, or other utensils I used when I started cooking meat midway through cooking to avoid contamination? Or can I use the same throughout the cooking process? Why or why not?","tongs, spoons, or other utensils i used when (0.99)",meat midway through cooking (1.00),same throughout the cooking process (0.95),contamination (1.00),why (0.73),why (0.52)
How do I use extra white boiled rice left after lunch?,extra white boiled rice left after lunch (1.00),none,none,none,none,none
How do you fix mushy pancakes?,mushy pancakes (1.00),none,none,none,none,none
Do you have a recipe that you don't share with anybody?,none,none,none,none,none,none
How do I deep fry without a thermometer?,deep (0.69),none,none,thermometer (0.90),none,none
How long should I quick soak my dry black beans?,so (0.99),dry black beans? (1.00),none,none,none,none
What can I do with a bad batch of brownies?,bad batch of brownies (1.00),none,none,none,none,none
What is the best way to cook purple sprouting broccoli?,purple sprouting broccoli? (1.00),none,none,none,none,none
How do you keep vegan pancakes from sticking together?,vegan pancakes from sticking together (1.00),none,none,none,none,none
"Whenever I boil pasta (specifically spaghetti), it always sticks to itself before I'm ready to use it. What can I do to avoid this without it becoming mushy (which happens if I keep it in the water)?",pasta ( specifically spaghetti ) (1.00),it always sticks (0.72),itself (0.63),it (0.93),it (0.44),water (0.60)
Why cooking is a good hobby?,none,none,none,cooking (0.76),none,none
What is the most delicious dish someone brought to a gathering that the person would not give out the recipe for? Did you ever find out how to make it?,most (0.97),delicious dish (0.72),gathering (0.43),none,none,none
How do I turn a dry rub into sauce?,dry rub into sauce (1.00),none,none,none,none,none
How can I save burnt pork ribs?,burnt pork ribs (1.00),none,none,none,none,none
How do you keep cornbread from sticking to the cast iron cornbread stick pans? Cooking spray doesn't seem to work too well.,cornbread from sticking to the cast iron cornbread stick pans? cooking spray (1.00),none,none,none,none,none
Can you use a deep fryer without the basket?,deep fryer (1.00),basket (0.99),none,the (1.00),none,none
What are the easiest non-pancake recipes that use pancake mix?,easiest non - pancake recipes that (0.96),##cake mix (1.00),none,pan (1.00),none,none
How do you cook female eggplants?,female eggplants? (0.99),none,none,none,none,none
How do you cook spleen?,spleen? (0.94),none,none,none,none,none
How do I cook a cure 81 ham?,cure 81 ham? (1.00),none,none,none,none,none
Does chopping steak negate the benefit of using better meat?,none,none,none,chopping steak (0.88),better meat (0.86),none
"If you want your potatoes to be baked quickly (dinner is in an hour) but you forgot to preheat the oven, should you put them in while preheating or not (baking, potatoes, cooking)?",potatoes (1.00),be baked quickly ( dinner is in an hour ) (1.00),##hea (0.68),pre (0.86),while (0.49),none
How long is dry pasta good for?,dry pasta (1.00),none,none,none,none,none
How long do you soak no-boil lasagna noodles?,no - boil lasagna noodles? (1.00),none,none,none,none,none
How can you reheat noodles without them sticking to each other?,reheat noodles (1.00),other (0.68),none,them (1.00),sticking (0.62),each (0.82)
Should I add salt to the batter of a fried food OR sprinkle salt after frying it?,batter (0.81),fried food or sprinkle salt after frying it (1.00),none,salt (0.79),none,none
Is there a pasta equivalent to risotto?,pasta (1.00),risotto (1.00),none,none,none,none
How long does it take to cook a turkey overnight?,turkey overnight (1.00),none,none,none,none,none
"When making fresh pasta, do I salt the water or the pasta itself?",fresh pasta (0.99),the water or the pasta itself (1.00),none,none,none,none
How do I grill without an actual grill?,grill (0.77),none,none,an (0.87),actual (0.98),none
How do you make great brown rice in a rice cooker?,great brown rice in a rice cooker (1.00),none,none,none,none,none
Is it better to fry bake or boil meatballs when making spaghetti and meatballs?,bake or boil meatballs when making spaghetti and meatballs (1.00),none,none,none,none,none
Can I use coconut oil instead of ordinary veg oil in a cake mix?,coconut oil instead of ordinary veg oil in a cake mix (1.00),none,none,none,none,none
What does butter do to tomato sauce?,tomato sauce (1.00),none,none,butter (0.90),none,none
How do I cook hard boiled eggs without the shell sticking to the egg?,hard boiled eggs (1.00),shell sticking to the egg (1.00),none,the (0.99),none,none
How do I make loaded baked potato soup?,loaded baked potato soup? (1.00),none,none,none,none,none
What are great-to-know tips for preparing clay pot cooking?,great - to - know (1.00),clay pot cooking? (0.98),none,none,none,none
How do I cook a beef round eye steak?,beef round eye steak (1.00),none,none,none,none,none
How do you cook frozen dumplings without a steamer?,frozen dumplings (1.00),none,none,a (0.92),steamer (1.00),none
What is the best way to reheat leftover gnocchi?,rehea (0.86),leftover gnocchi? (1.00),none,none,none,none
How do I cook stuffed mushrooms in an oven?,stuffed mushrooms in an oven (1.00),none,none,none,none,none
Can I add vanilla extract to simple syrup?,vanilla extract to simple syrup (1.00),none,none,none,none,none
How can you use a grill mat on an indoor grill?,grill mat on an indoor grill (1.00),none,none,none,none,none
Which dish do you default to when you have no ideas on what to cook?,none,none,none,dish (0.40),ideas (0.74),what (0.83)
How do you microwave pasta without drying it out?,pasta (1.00),none,none,drying it out (1.00),none,none
How do you make turkey meatballs that don't fall apart?,turkey meatballs that don't fall apart (1.00),none,none,none,none,none
What part of the human body would be more delicious if it has properly cooked with herbs and seasonings?,human body (0.75),delicious (0.58),none,properly (1.00),cooked with herbs and (0.87),seasonings (0.78)
How do I cook tender country ham slices?,tender country ham slices? (0.99),none,none,none,none,none
How can I make a casserole without chopping any of the ingredients?,casserole (1.00),any of the ingredients (0.97),none,chopping (0.93),none,none
"When making pancakes, what are some tricks to avoid the big mess and how to make them similar in size?",pancakes (1.00),tricks (0.56),mess (0.93),the (0.71),big (0.69),none
How long do you cook red potatoes?,red potatoes (1.00),none,none,none,none,none
What do you do if you mistake salt for sugar while cooking?,salt for sugar while cooking (1.00),none,none,none,none,none
What tips do you have on cutting vegetables lengthways before adding to a stew?,vegetables lengthways before adding to a stew (0.93),none,none,tips (0.87),none,none
"What can I use instead of carrots, onions, and celery when making a stew?","##s, onions, and celery when (0.92)",stew (1.00),none,carrot (0.80),none,none
"How do you slice, chop, and mince?","slice, chop, and mince (0.94)",none,none,none,none,none
How do I make rotisserie chicken less moist?,rotisserie chicken less moist? (1.00),none,none,none,none,none
"What is the difference between chicken bouillon, chicken stock and chicken broth?","chicken bouillon, chicken stock and chicken broth (1.00)",none,none,none,none,none
How do I make pizza not stick on a ceramic stone?,pizza not stick on a ceramic stone (1.00),none,none,none,none,none
What is chervil used for in cooking?,chervil (0.90),cooking (0.63),none,none,none,none
Which cooking oil is best for frying eggs?,frying eggs? (0.96),none,none,cooking oil (0.88),none,none
Can I pre-cook tri tip and finish it later?,tri tip and finish it later (1.00),none,none,none,none,none
What can you add to boiled food to make them taste better?,boiled food (1.00),them taste better (1.00),none,none,none,none
What is the best way to cook a rock eel?,rock eel? (0.94),none,none,none,none,none
How do I cook a cube steak without frying?,cube steak (1.00),none,none,fry (1.00),##ing (0.76),none
What is special about the chain cut off of the beef tenderloin? How do you like to cook it?,chain cut off of the beef tenderloin (1.00),it (0.44),none,none,none,none
How do you clean a pellet grill in an easy way?,pellet grill (1.00),easy way (1.00),none,none,none,none
How long does it take to BBQ a steak medium rare?,##q a (0.99),steak medium rare? (0.94),none,none,none,none
"Is there a way to cook minced garlic without it ""popping"" out of the pan?","minced garlic without it "" popping "" out of the pan (1.00)",none,none,none,none,none
What does ‘spatchcock’ mean in cooking?,spatchcock ’ (1.00),none,none,cooking (0.56),none,none
What foods do you feel are always better when cooked on a grill?,foods (0.71),when cooked on a grill (0.88),none,better (0.62),none,none
Can I stir fry potatoes without boiling them?,potatoes (1.00),none,none,boiling them (1.00),none,none
How do I make mustard greens taste good?,mustard greens taste good? (1.00),none,none,none,none,none
Can onions be grilled on a barbecue grill?,onions (1.00),grille (0.88),on (0.98),none,none,none
What is a fruit puree?,fruit puree (1.00),none,none,none,none,none
"After preheating an oven, am I supposed to bake at the same temperature or is it advisable to change?",oven (1.00),##ke (0.45),the same temperature (0.49),##hea (0.47),ba (0.67),ad (0.34)
What is the most versatile cooking device for people with limited space?,most (0.72),cooking (0.89),people (0.50),versatile (0.67),device (0.69),limited (1.00)
How long do you mix pizza dough in a spiral mixer?,pizza dough in a spiral mixer (1.00),none,none,none,none,none
"Is it true that if someone attempts to grill frozen brats and hamburgers on the grill without unthawing them first, they will most likely burn the outside but leave the inside uncooked?",frozen brats and hamburgers on the grill (1.00),them first (0.96),uncooked? (0.55),unthawing (0.97),outside (0.62),inside (0.82)
How long should I put microwave popcorn in for?,microwave popcorn in (1.00),none,none,none,none,none
What is a natural starter?,natural starter (1.00),none,none,none,none,none
How do I boil an egg without its shell getting cracked during boiling?,egg (1.00),none,none,its shell getting cracked during boiling (0.94),none,none
How do I broil steak in a gas oven?,steak in a (0.98),gas oven (0.98),none,none,none,none
How do I cook al pastor on a stove?,al pastor on a stove? (0.99),none,none,none,none,none
"Why do we need salt to ""pull"" the flavor of things we cook?","pull "" the flavor of things (0.98)",none,none,"salt to "" (0.85)",none,none
How do I make salty food less salty?,salty food less salty? (1.00),none,none,none,none,none
How could cooking be creative?,none,none,none,cooking (0.92),none,none
What kind of meals can you cook using tamarind powder?,meals (0.72),using tamarind powder? (1.00),none,none,none,none
How do you make the bottom of a frozen pizza crispy?,bottom (0.99),frozen pizza crispy? (1.00),none,none,none,none
How do I peel and chop an onion?,onion (1.00),none,none,none,none,none
What can a rice cooker cook beside rice?,rice cooker cook beside rice (0.98),none,none,none,none,none
"After searing, how long do you bake a 1-pound sirloin steak?",1 - pound sirloin steak (1.00),none,none,searing (0.71),none,none
How do you grill a burger without drying it out?,burger (1.00),none,none,drying it out (1.00),none,none
Can I make pancakes with just sweet potatoes and eggs?,pancakes with (1.00),none,none,just sweet potatoes and eggs (0.93),none,none
Why shouldn't you break the pasta before cooking it?,pasta (1.00),it (0.98),none,none,none,none
How long does it take to roast garlic in an oven?,garlic in an oven (0.94),none,none,none,none,none
How do you make salmon patties from scratch?,salmon patties (1.00),scratch (1.00),none,none,none,none
How do you cook pork loin chops?,pork loin chops? (1.00),none,none,none,none,none
How do I cook Denver steak in an oven?,denver steak in an oven? (0.92),none,none,none,none,none
How do I cook an angus steak in an oven?,angus steak in an oven (1.00),none,none,none,none,none
Can you cook sous vide directly with the store sealed packaging?,sous vide directly with the store sealed packaging (1.00),none,none,none,none,none
How can I make my shepherds pie taste better after already cooking the filling?,shepherds pie taste better (1.00),cooking the filling (1.00),none,already (0.68),none,none
How can I keep pizza from sticking to the pan?,pizza (1.00),sticking (0.64),pan (0.95),the (0.70),none,none
How long does it take to cook chicken at 325?,chicken at 325? (1.00),none,none,none,none,none
What's the best non-dairy way to neutralize spicy foods?,the best non - dairy way to neutralize spicy foods? (1.00),none,none,none,none,none
How can I safely dispose cooking oil that I used?,cooking oil that (0.99),none,none,none,none,none
What ingredient do you always add more than is called for in a recipe?,more than is called (0.69),in (0.56),none,ingredient (0.50),for (0.40),none
"How do I cook a ""one minute microwave pudding"" without a microwave?",""" one minute microwave pudding "" (1.00)",none,none,a (0.98),microwave (1.00),none
How do I make sure the inside is cooked when frying?,inside is cooked when frying (1.00),none,none,none,none,none
How long does it take to deep fry a ham?,ham (1.00),none,none,none,none,none
What are some substitutes for eggs in pancakes?,none,none,none,substitutes for eggs in pancakes (0.92),none,none
How can I boil eggs without the yolk turning green?,eggs (1.00),none,none,the yolk turning green (1.00),none,none
What's the best way to cook oat groats?,oat groats (1.00),none,none,none,none,none
What is the best bagged ice cream recipe?,the best bagged ice cream recipe (1.00),none,none,none,none,none
Is there any way at home that I can make flour tortillas without rolling them out?,flour tortillas (1.00),them out (0.98),none,rolling (1.00),none,none
"How do I achieve a ""simmer"" in an Instant Pot?",""" simmer "" in an instant pot (1.00)",none,none,none,none,none
"What can I cook for my mom on her birthday? I have no experience in cooking that's why I want it to be as easy as possible but also very special. I want to prepare a whole meal with the main dish, a side, accompanying drink and a dessert",mom (0.93),birthday (0.98),easy as possible (0.78),cooking (1.00),dessert (0.87),none
What will happen if the meat is not washed or rinsed before cooking?,meat (1.00),or rinsed before (0.77),none,washed (0.38),cooking (0.96),none
How long does it take to cook frittata in an oven?,frittata in an oven (1.00),none,none,none,none,none
"How do you make the bacon crispy, but not burn the scallops, for bacon wrapped scallops?","bacon crispy, but not burn the scallops, for bacon wrapped scallops (1.00)",none,none,none,none,none
How do you make chicken tenders juicy yet well cooked?,chicken tenders juicy yet well cooked? (1.00),none,none,none,none,none
How do I preserve pizza sauce for a year?,pizza sauce (1.00),none,none,none,none,none
How do I cook a 3 lb roast beef?,3 lb roast beef? (1.00),none,none,none,none,none
What are three ways to find the best olive oil for cooking?,the best olive oil for cooking (1.00),none,none,none,none,none
How do you reheat baked ziti in the oven?,reheat baked ziti in the oven (1.00),none,none,none,none,none
How do I cook perogies in the oven?,perogies in the oven (1.00),none,none,none,none,none
How do you prevent chicken from sticking when searing?,chicken from sticking when searing? (1.00),none,none,none,none,none
How do I cook a salmon fillet on the stove and what seasons should I use?,salmon fillet on the stove and (1.00),seasons (1.00),none,what (0.66),none,none
Do you need to cook vegetables before putting on pizza?,vegetables (1.00),none,none,pizza (0.89),none,none
Can you keep taco meat warm in a crockpot?,taco meat warm in a crockpot (1.00),none,none,none,none,none
How do I cook food in the forest?,food in the forest (0.87),none,none,none,none,none
What happens if you put too much bread crumbs in meatloaf?,too much bread crumbs in meatloaf? (1.00),none,none,none,none,none
What is the difference between carbonara and boscaiola?,carbonara and boscaiola (1.00),none,none,none,none,none
How do I make instant potatoes taste better?,instant potatoes taste better (1.00),none,none,none,none,none
What are your favorite seasonings or toppings you like to use when making roasted vegetables?,favorite seasonings or toppings (0.99),roasted vegetables (0.91),none,none,none,none
How do I cook brown rice on a stove?,brown rice on a stove? (0.96),none,none,none,none,none
What are awesome cooking hacks for fixing burnt food?,burnt food (0.82),none,none,hack (0.72),none,none
In how much water do I need to put ramekins when cooking au bain marie in the oven?,ramekins when cooking au bain marie in the oven (0.94),none,none,water (1.00),none,none
How long does it take to bake a pizza at 400 degrees?,pizza at (1.00),degrees (1.00),none,400 (0.98),none,none
How do I cook chicken skewers in an oven?,chicken skewers in an oven (1.00),none,none,none,none,none
How do I make Chef Boyardee taste better?,chef boyardee taste better (1.00),none,none,none,none,none
What are some tasty ways to fix salty potato salad?,tasty (0.57),salty potato salad? (0.86),none,none,none,none
"Should you cook meat directly above the flame of a gas stove (grilling, cooking)?","meat directly above the flame of a gas stove ( grilling, cooking ) (1.00)",none,none,none,none,none
How do you soften carrots quickly?,soft (0.99),carrots quickly (0.99),none,none,none,none
How do I cook rice with coconut oil?,rice with coconut oil (1.00),none,none,none,none,none
Can I prepare my cake batter with a blender?,cake batter with a blender (1.00),none,none,none,none,none
How do you prevent a cake from rising and cracking in the middle while baking?,cake (1.00),and (0.74),in (0.43),rising (0.95),cracking (0.46),the (0.44)
What happens if you don't let pizza dough rise?,pizza dough rise (1.00),none,none,none,none,none
How do you make pasta salad with store-bought gnocchi?,pasta salad with store - bought gnocchi? (1.00),none,none,none,none,none
How do I replace eggs in a recipe?,eggs in (0.98),recipe (0.90),none,none,none,none
How do I make stir-fry sauces that don't get watery and thin as leftovers?,stir - fry sauces that don't get watery and thin as leftovers (1.00),none,none,none,none,none
Why would you add vinegar to a spaghetti sauce?,vinegar to (0.94),spaghetti sauce (1.00),none,none,none,none
Does egg temperature matter when making pancakes?,pancakes (1.00),none,none,egg temperature (1.00),none,none
What seasoning do you use to marinate chicken?,marinate chicken? (0.78),none,none,seasoning (0.99),none,none
What is a binding agent in cooking?,binding (0.88),cooking (0.63),none,agent (0.99),none,none
How do I know when my eggs are safely cooked?,eggs (1.00),safely cooked (0.94),none,none,none,none
Should I freeze dumplings raw or cooked?,dumplings raw or cooked (0.93),none,none,none,none,none
How long does it take to cook a beef pot roast?,beef pot roast (1.00),none,none,none,none,none
"What are tricks of the trade for cooking efficiently for one (food preservation, storage, shopping, cooking)?","efficiently for one ( food preservation, storage, shopping, cooking ) (0.99)",none,none,none,none,none
What do you do with leftover pancakes?,none,none,none,leftover pancakes (1.00),none,none
How do I keep Mac and cheese moist?,mac and cheese moist? (1.00),none,none,none,none,none
How can you keep a hamburger from bulging in the middle while it's cooking on the grill?,hamburger from bulging in the middle while it's cooking on the grill (1.00),none,none,none,none,none
What are the best pans to cook with and have food not stick to it or burn?,the best pans (0.97),with and have (0.81),not (0.84),food (0.58),stick (0.70),it (1.00)
What does scalded milk do for bread?,scalded milk (0.96),bread (0.53),none,none,none,none
What can you use instead of scalded milk in a recipe?,instead of scalded milk in a recipe (1.00),none,none,none,none,none
In a rice cooker do you add spices before or after cooking?,rice cooker (1.00),spices before or after cooking (0.93),none,none,none,none
Is slow cooking always the best way to cook brisket?,cooking (0.53),brisket (1.00),none,slow (0.87),none,none
Why is beating eggs with sugar necessary in some recipes?,eggs with sugar (0.90),recipes (0.98),none,beating (0.89),necessary (0.52),none
I would add BBQ powder on my fries but it won't stick to the fries. What do I do?,bbq powder (1.00),fries (1.00),it (0.67),the (0.77),none,none
How do you keep eggs from sticking to stainless steel pans?,eggs (1.00),sticking to stainless steel pans (0.98),none,none,none,none
What does 'blackened' mean in cooking? Does it mean this process will make the meat very well-done and dry?,meat very well - done and dry (0.78),none,none,' (0.66),blackened ' (0.83),cooking (0.54)
"When cooking steak, how can I keep the fat melting from causing the steak to change shape?",steak (1.00),fat (0.89),from causing (0.63),melting (0.68),none,none
Why shouldn't you peel potatoes when cutting onions?,potatoes when cutting onions (1.00),none,none,none,none,none
"What is the best way to cook hotdogs (that tastes decent), at home when you do not have access to a grill?","hotdogs ( that tastes decent ), (1.00)",none,none,grill (1.00),none,none
How do you stop boiled food from sticking to a stainless steel pot?,boiled food (1.00),sticking to (0.96),stainless steel pot (1.00),none,none,none
Why does my soufflé cheesecake sink so much? It sunk by about half within 5 minutes of taking it out of the oven.,souffle cheesecake sink (1.00),much? it sunk by about half within (0.73),minutes (0.63),none,none,none
How do you prevent your homemade potato salad from turning out watery?,homemade potato salad from turning out watery? (1.00),none,none,none,none,none
Is there a tool for searing/browning the sides of a chuck roast?,/ browning the sides of a chuck roast (0.99),none,none,searing (0.85),none,none
How do I cook linguica in the oven?,linguica in the oven (1.00),none,none,none,none,none
How long does it take to cook a small ham?,small ham? (0.93),none,none,none,none,none
What is the first thing you should always do before starting to cook?,none,none,none,none,none,none
"How do you soften hardened, freshly boiled pasta?",soft (1.00),"hardened, freshly boiled pasta? (0.99)",none,none,none,none
How do I cook chicken breast without oil?,chicken breast (1.00),none,none,oil (1.00),none,none
Can I cook a frozen pizza in a frying pan?,frozen pizza in a frying pan (1.00),none,none,none,none,none
What do you use instead of milk in meatloaf?,instead (0.50),milk in meatloaf? (0.99),none,none,none,none
How do I cook a steak on a stove?,steak on a stove (1.00),none,none,none,none,none
How do you grill without skewers?,without skewers? (1.00),none,none,none,none,none
How can I make my stew taste better? The tomatoes was almost spoilt and now the stew has a tangy taste,stew taste better (0.97),was almost spoilt (0.75),stew (0.55),tomatoes (0.67),tangy taste (0.87),none
How can I make an easy tofu marinade without sodium?,easy tofu marinade (1.00),none,none,sodium (1.00),none,none
My cookbook tells me to cook my eggs (4 of them) in a saucepan for 15 minutes for hard cooked eggs. How much time would I have to add to get good results for a dozen at a time?,eggs ( 4 of them ) in a saucepan for 15 minutes for hard cooked eggs (1.00),good results for a dozen (1.00),a (0.86),time (1.00),add (0.91),none
What do I do if my lasagna is too watery?,lasagna (1.00),watery (0.96),none,none,none,none
Can I add lentils to a baked chicken-and-vegetable stew?,lentils to (1.00),baked chicken - and - vegetable stew (1.00),none,none,none,none
Should I strip the factory seasoning off a new Lodge skillet?,factory seasoning off (1.00),new lodge skillet (0.98),none,none,none,none
How do you cook a 30 pound turkey?,30 pound turkey? (1.00),none,none,none,none,none
How do I make cream sauce for pasta?,cream sauce for pasta? (1.00),none,none,none,none,none
How do you rescue overproofed dough?,overproofed dough (1.00),none,none,none,none,none
Do ribs get more tender the longer they cook?,ribs (1.00),none,none,tender (1.00),none,none
"When cooking breakfast, what do you cook first?",breakfast (1.00),first? (0.95),none,none,none,none
"How do I make quick and easy fried chicken? What ingredients are required to make it juicy, crispy, and tender?",quick and easy fried chicken? (1.00),ingredients (0.66),"it juicy, crispy, and tender? (1.00)",none,none,none
How long do you cook penne pasta?,penne pasta? (0.98),none,none,none,none,none
What is your best recipe for a sour cherry pan sauce?,best (0.47),sour cherry pan sauce? (1.00),none,none,none,none
What is a good replacement for mayonnaise?,mayonnaise? (1.00),none,none,none,none,none
Do you need to wash scallops before cooking them?,scallops (1.00),them (1.00),none,none,none,none
What can I use instead of an oven?,oven (1.00),none,none,none,none,none
What is the best way to cook legumes?,legumes (1.00),none,none,none,none,none
What can you use as a binder in meatloaf instead of breadcrumbs?,binder in meatloaf instead of breadcrumbs (1.00),none,none,none,none,none
How hard is it to learn to cook?,none,none,none,none,none,none
"Are you supposed to cook pasta sauce before putting it on the pasta or, should you add pasta sauce directly from the jar and stir it up on the hot stovetop?",pasta sauce (1.00),it on the pasta or (1.00),pasta sauce directly from the jar (1.00),none,none,none
What trick does a professional chef do when he runs out of ingredients while cooking and the customer is waiting for him?,professional chef (1.00),he runs out of ingredients while cooking (1.00),the customer (0.83),none,none,none
How many efforts will be wasted in becoming a good cook?,good cook (1.00),none,none,efforts (0.78),none,none
What is the difference between a baked potato and a boiled potato?,baked potato and a boiled potato (0.96),none,none,none,none,none
"What's the attraction for bucatini pasta? It's hollow like a straw so you cannot slurp it as you would with spaghetti or twirl it with a fork unless you overcook it into mush. If you are going to chop it into segments, why not just use ziti?",bucatini pasta (1.00),it (0.99),hollow like a straw (0.88),sl (0.93),spaghetti (0.61),over (0.44)
How could you prepare a very tasty summer appetizer in just 5 minutes?,very tasty summer appetizer in just 5 minutes (1.00),none,none,none,none,none
Can you cook eggs without oil in a nonstick pan?,eggs without (0.82),in a nonstick pan (0.99),none,oil (1.00),none,none
How do you cook a boiled egg in which the egg white is cooked but the egg yolk is half-cooked and half liquid?,boiled egg in which the egg white is cooked but the egg yolk is half - cooked and half liquid (1.00),none,none,none,none,none
How long should I leave rice out after cooking?,rice out after cooking (1.00),none,none,none,none,none
How do you make tortilla chips?,tortilla chips (1.00),none,none,none,none,none
Do you have to defrost pizza before cooking?,pizza (0.88),none,none,defrost (0.88),cooking (0.94),none
"What's a foolproof way to prepare tofu where the cubes stay intact after cooking or baking, and don't break up?",foolproof (1.00),"tofu where the cubes stay intact after cooking or baking, (0.99)",none,break (0.94),up (0.61),none
How do you keep long noodles like fettuccine and spaghetti from breaking apart?,long noodles like fettuccine and spaghetti from breaking apart (1.00),none,none,none,none,none
How do I reheat leftovers in the oven?,leftovers in the oven (1.00),none,none,none,none,none
What does it mean to let a sauce reduce?,sauce reduce (1.00),none,none,none,none,none
What is the trick to making every single kernel pop when preparing popcorn?,single kernel pop when preparing popcorn (0.98),none,none,none,none,none
What is pernod in cooking?,##nod in cooking (0.74),none,none,per (0.93),none,none
How do you cook a pork soup without it tasting salty?,pork soup (1.00),? (0.41),none,it tasting salty (0.94),none,none
How long does it take to cook chicken breast at 400?,chicken breast at 400? (1.00),none,none,none,none,none
What is a free cooking book?,free cooking book (1.00),none,none,none,none,none
How do I make potato latkes?,potato latkes? (1.00),none,none,none,none,none
What would happen if you added a ton of Bay leaves to a soup?,ton of bay leaves to (1.00),soup (0.98),none,none,none,none
How do I cook moist boneless pork chops?,moist boneless pork chops? (1.00),none,none,none,none,none
Why do people pound chicken breasts flat before cooking?,chicken breasts flat before (0.98),none,none,cooking (0.85),none,none
How do you fix undercooked potatoes?,undercooked potatoes? (0.93),none,none,none,none,none
Do proteins disappear when boiling?,proteins (0.93),none,none,boiling (0.61),none,none
How do I flatten meat without a mallet?,meat (1.00),none,none,a (1.00),mallet (1.00),none
How do I spice up canned baked beans?,canned baked beans? (1.00),none,none,none,none,none
Is there a way to use or transform leftover hollandaise sauce?,leftover hollandaise sauce (0.96),none,none,none,none,none
Why do people use oil to cook popcorn when it cooks as well or better without using oil?,popcorn when it cooks as well or better (1.00),none,none,oil (1.00),using oil (0.98),none
How do I cook food more nutritiously?,food more nutritiously? (1.00),none,none,none,none,none
How do I cook a beef tip roast?,beef tip roast (1.00),none,none,none,none,none
Should you add garlic to pasta sauce?,garlic to pasta sauce (0.96),none,none,none,none,none
What are some tricks to prevent my omelettes from turning into scrambled eggs?,omelettes (0.97),turning into scrambled eggs (0.99),none,tricks (0.66),none,none
How do I strain Chia Seeds after soaking them? (they go right through my strainer as they are so small),chia seeds after soaking them? ( they (0.99),right (0.96),strainer (1.00),none,none,none
How long do you cook canned hominy?,canned hominy? (1.00),none,none,none,none,none
What is the best way to cook jowl bacon?,jowl bacon (1.00),none,none,none,none,none
How do you make fried food less greasy?,fried food less greasy? (1.00),none,none,none,none,none
How can I become a better chef?,none,none,none,none,none,none
How do I clean and cook a turkey?,turkey (1.00),none,none,none,none,none
How do I cook pork chops with bones?,pork chops with bones (1.00),none,none,none,none,none
How long does it take to cook chicken thighs in an oven at 180?,chicken thighs in an oven at (0.96),? (0.87),none,180 (0.92),none,none
How long does it take to cook small baked potatoes?,small baked potatoes? (1.00),none,none,none,none,none
Do you have to cook canned potatoes?,canned potatoes (1.00),none,none,none,none,none
How can I make my own Bisquick?,bisquick? (0.98),none,none,none,none,none
How much dry rice is needed to cook rice?,rice (1.00),none,none,dry rice (1.00),none,none
How do I make a tuna casserole in an oven?,tuna casserole in an oven (1.00),none,none,none,none,none
How long would you grill a full rack of ribs before flipping it over to season and cook the other side?,full rack of ribs before flipping it over to season (1.00),other side (0.99),none,none,none,none
Can you marinate chicken in buttermilk for 36 hours?,marina (0.95),chicken in buttermilk for 36 hours (1.00),none,none,none,none
What is the easiest way to cook perfect rice?,perfect rice? (1.00),none,none,none,none,none
How long do you bake chicken legs at 350?,chicken legs at 350? (1.00),none,none,none,none,none
Is it okay to season steak midway through cooking?,steak midway through cooking (0.98),none,none,season (0.47),none,none
"As so many dislike garlic presses, what are better methods to mince garlic?",dislike garlic presses (1.00),methods (0.90),##ce garlic (1.00),min (0.80),none,none
Why do chefs often put a wooden spoon across a pot of boiling water?,chefs (0.70),wooden spoon across a pot of boiling water (1.00),none,none,none,none
What are tips every griller should know for the grillings of fresh vegetables?,griller (1.00),grillings of fresh vegetables (0.95),none,tips (0.47),none,none
How do I cook mixed greens without meat?,mixed greens (1.00),none,none,meat (1.00),none,none
Does a burger cook better on a grill than a stove top?,burger (1.00),better on a grill than a stove top (0.96),none,none,none,none
What is the best tasting mushroom for cooking?,the best tasting mushroom (1.00),none,none,none,none,none
How do I make spaghetti in the microwave?,spaghetti in the microwave? (1.00),none,none,none,none,none
How long does it take to bake a 16 lb turkey?,16 lb turkey? (1.00),none,none,none,none,none
How long does gnocchi take to cook?,gnocchi (1.00),none,none,none,none,none
How could you prepare an excellent flan of potatoes and herbs?,excellent flan of potatoes and herbs? (0.99),none,none,none,none,none
"When cooking steak, should the fat inside be cooked?",steak (1.00),none,none,fat inside (0.69),cooked (0.56),none
What is the best way to reheat a cream based pasta dish?,##hea (0.62),cream based pasta dish (1.00),none,none,none,none
What are some good heat resistant bags for cooking?,good heat resistant bags (0.97),cooking (0.97),none,none,none,none
How long does it take to roast an unstuffed turkey?,unstuffed turkey (1.00),none,none,none,none,none
Is parchment paper better to cook with than foil?,with than foil (0.99),none,none,parchment paper (0.60),none,none
How do I cook mussels in red sauce?,mussels in red sauce (1.00),none,none,none,none,none
