utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
How do I make cream sauce for pasta?,cream sauce for pasta? (1.00),none,none,none,none,none
Can you make a buttercream frosting that tastes exactly like cream cheese frosting?,buttercream frosting that tastes exactly like cream cheese frosting (1.00),none,none,none,none,none
What do you think of mint ice cream?,mint ice cream (1.00),none,none,none,none,none
What is the most tasty dessert from the Middle East?,most (0.98),##sty dessert from the middle east (0.97),none,ta (0.54),none,none
Is a steam cake softer than a baked cake?,steam cake (1.00),baked cake (1.00),none,none,none,none
"What are the best books for basic components of pastry and confectionary like mousses, cremeux, plane cakes, and glazes?","basic components of pastry and confectionary like mousses, cremeux, plane cakes, and glazes (1.00)",none,none,none,none,none
Why does my homemade ice cream melt so fast?,homemade ice cream melt so fast (0.97),none,none,none,none,none
Why is cookie dough ice cream the best flavor?,cookie dough ice cream the best flavor (1.00),none,none,none,none,none
Can you use cornstarch to thicken whipped cream?,cornstarch to thicken whipped cream (1.00),none,none,none,none,none
How do I soften cream cheese for mixing?,soft (0.98),cream cheese for mixing? (0.99),none,none,none,none
How do I rent an ice cream truck?,ice cream truck (1.00),none,none,none,none,none
How can you tell if ice cream at a grocery store has been thawed and refrozen?,ice cream at (0.99),grocery store has been thawed and refrozen (0.97),none,none,none,none
What are some good types of fudge recipes?,good types (0.98),fudge recipes (1.00),none,none,none,none
How do I make a chocolate drizzle for a cake?,chocolate drizzle for a cake (1.00),none,none,none,none,none
How do you use Hoosier Hill Farm heavy cream powder?,hoosier hill farm heavy cream powder? (0.99),none,none,none,none,none
"If you’re a recovering alcoholic, will rum cake, rum cherry/raisin ice cream, rum ham, or other rum related foods make you go back to being an alcoholic?","recovering alcoholic, will rum cake, rum cherry / raisin ice cream, rum ham, or other rum related foods (1.00)",alcoholic (0.61),none,none,none,none
"If you were reincarnated as ice cream, what ice cream would you be?",##car (0.91),ice cream (1.00),ice cream (1.00),none,none,none
Can cake recipes be poured into a cupcake pan?,cake (1.00),cupcake pan (1.00),none,none,none,none
How do you recycle a leftover panettone to prepare a delicious and quick-to-make dessert?,##y (0.97),leftover panettone (1.00),delicious and quick - to - make dessert (1.00),none,none,none
What are some desserts that start with the letter H?,dessert (0.99),the letter h? (0.86),none,##s (0.91),none,none
What goes well with mint chocolate chip ice cream?,mint chocolate chip ice cream? (1.00),none,none,none,none,none
What is the most popular ice cream?,popular (0.68),ice cream (0.96),none,none,none,none
How can I stop my ice cream from freezing solid?,ice cream from freezing solid (1.00),none,none,none,none,none
What are some easy desserts to make with few ingredients?,easy desserts to make with few ingredients (1.00),none,none,none,none,none
"I’m on a dessert island and it’s bear like nothing but sand. Do I drink my urine, sweat, or tear first?",dessert island (1.00),’ s bear like nothing but sand (0.97),", sweat, or tear first (1.00)",urine (0.57),none,none
Why do some American diners refer to all blended ice cream drinks as “malts” regardless of whether they have malted milk powder in them?,american diners (0.87),all blended ice cream drinks as “ malts ” (1.00),they (0.97),whether (0.85),none,none
"Which is better, pure vanilla or vanilla extract?",pure vanilla or vanilla extract? (1.00),none,none,none,none,none
Why is ice cream a junk food?,ice cream (1.00),junk food (1.00),none,none,none,none
"Why do blue creamsicles seem to have less ice cream? My family has gone through 3 boxes of creamsicles this summer, and every time I’ve ate a blue one there always seems to not be as much ice cream at the top. Is there a reason for this?",blue creamsicles (1.00),have less ice cream (0.96),3 boxes of creamsicles (1.00),as (0.33),top (0.71),none
How would you eat ice cream if you were a walrus?,ice cream (1.00),walrus (1.00),none,none,none,none
"What ice cream flavor out of the three would you choose, strawberry, chocolate, or vanilla?",ice cream flavor out of the three would (0.90),", strawberry, chocolate, or vanilla (0.95)",none,none,none,none
"Which is correct, this is an ice cream or this is ice cream?",ice cream (1.00),this is ice cream? (0.96),none,none,none,none
"Why don't grocery stores offer healthy alternatives to desserts like pastries, cookies, and cakes?",grocery stores (1.00),"alternatives to desserts like pastries, cookies, and cakes (0.93)",none,healthy (0.78),none,none
I want to make a restaurant-quality milkshake. Is it true that they add chocolate to a vanilla base? Syrup or powder?,restaurant - quality milkshake (1.00),to a vanilla base? syrup or powder (1.00),none,chocolate (1.00),none,none
Why is Polish ice cream so delicious?,polish ice cream (1.00),delicious (0.94),none,none,none,none
Is it legal for an individual to walk backwards with an ice cream cone in their back pocket on a sidewalk in down town Atlanta?,backwards with an ice cream cone in their back pocket (0.98),sidewalk in (0.78),down town atlanta (1.00),none,none,none
"What are food genres called? Like dessert, snacks, and appatizer, what are the base names of these food types?",food genres (0.85),"dessert, snacks, and appatizer, (0.94)",food types (0.99),base names (0.68),none,none
How do I make caramel sauce with milk?,caramel sauce with milk? (1.00),none,none,none,none,none
I have been listening to a biscuit connoisseur and heard of a kind of biscuit named custard cream. Where can I buy this?,biscuit connoisseur (1.00),of biscuit named custard cream (1.00),none,none,none,none
Who brought ice cream to America?,ice cream (1.00),america (0.41),none,none,none,none
What unusual ingredients can be used to make ice cream?,ice cream (1.00),none,none,unusual (0.94),ingredients (0.92),none
How do I make whipped cream out of 18% cream granulated sugar with no cornstarch?,whipped cream out of 18 % cream granulated sugar with no cornstarch (1.00),none,none,none,none,none
How do you make salmon ice cream without using sugar?,salmon ice cream (1.00),sugar (0.87),none,using (1.00),none,none
How do I make bubble gum ice cream?,bubble gum ice cream (1.00),none,none,none,none,none
I just had a Pop-Tart for the first time. How is this considered a breakfast food?,pop - tart for (0.92),first time (1.00),breakfast food? (0.87),none,none,none
What are all the arguments for eating dessert before dinner?,dessert before dinner (1.00),none,none,none,none,none
Do you have to refrigerate cake pops before dipping?,##rigerate cake pops before dipping (1.00),none,none,ref (0.98),none,none
Is Eddy’s no added sugar ice cream okay to eat?,eddy ’ s no added sugar ice cream okay (0.99),none,none,eat (0.99),none,none
How do I keep a puff pastry crisp overnight?,puff pastry crisp overnight (1.00),none,none,none,none,none
Can we eat ice cream after tooth cleaning from dentist?,ice cream after tooth cleaning from dentist (1.00),none,none,none,none,none
When a recipe asks for cream what kind of cream are is it referring to? Heavy whipping cream?,cream (0.69),kind of cream are (0.92),heavy whipping cream (0.99),none,none,none
"What is the pronunciation of the dessert ""tres leches"" in English?","dessert "" tres leches "" (1.00)",english (0.53),none,none,none,none
"Why when it comes to desserts, whether they are cakes, pastries, or something alternative, is there an ingredient, the egg, which is almost always present?",desserts (0.98),whether they (0.96),"cakes, pastries (0.99)",ingredient (0.95),egg (0.97),present (0.42)
What does space taste like? Does it taste like ice cream? I bet it does.,space (0.98),ice cream (1.00),none,none,none,none
What is one dessert you never liked but then you started to appreciate with age or tried different versions of it?,dessert (1.00),started (0.34),or (0.43),liked (0.45),with (0.64),age (0.99)
"What was the best, most mouthgasmic dessert you've ever had? Where did you have it?","best, most mouthgasmic dessert (1.00)",ever had (0.74),none,none,none,none
What brand of cream cheese is best for cheesecakes? I’m looking for a proven brand that would give me the best possible result.,cream cheese (1.00),best for cheesecakes (1.00),proven brand (0.77),none,none,none
When should I ice cinnamon rolls if they’ll be served a day after baking?,cinnamon rolls if they ’ (0.87),be served a day (0.79),none,baking (1.00),none,none
How do I make a mango puree for a baby?,mango puree for a baby (1.00),none,none,none,none,none
What can I do with cherries that aren't very good?,aren't very (0.79),none,none,cherries that (0.92),good (0.79),none
How much is a tall caramel macchiato?,tall caramel macchiato? (1.00),none,none,none,none,none
How does the temperature of ice cream when you eat it change its flavor?,ice cream when you eat it (1.00),its (0.67),none,flavor (0.96),none,none
Will Greek style yogurt do as a sour cream alternative for cheesecake?,greek style yogurt (1.00),sour cream alternative for cheesecake (1.00),none,none,none,none
What temperature range should I churn ice cream at? What is the best temperature to churn it at?,ice cream (1.00),the best temperature (0.85),chu (0.52),temperature range (0.66),none,none
Can ice cream soothe my GI pain?,gi pain (0.99),none,none,ice cream (0.93),none,none
How can I start raw ice cream business in Texas legally? I’d like to make homemade ice cream at home using raw A-grade dairy. Since selling ice cream is illegal could I just be donation based? Could I have an ice cream truck? What’s the process?,raw ice cream business in texas legally (0.95),homemade ice cream (1.00),using (1.00),raw (0.98),none,none
Why is buying ice cream from an ice cream truck more appealing than buying a box of the same kind ice cream from a grocery store even though the ice cream truck is more expensive?,ice cream from an ice cream truck (1.00),appealing (0.55),box of the same kind ice cream from (1.00),expensive (0.51),none,none
How can I make whip cream frosting?,whip cream frosting (1.00),none,none,none,none,none
What or how can I make chocolate syrup freeze on ice cream?,chocolate syrup freeze on ice cream (1.00),none,none,none,none,none
How do I make buttercream look like fondant?,buttercream look like fondant (1.00),none,none,none,none,none
How do I make cup cakes at home?,cup cakes (1.00),none,none,none,none,none
How do I make a chocolate drizzle without shortening?,chocolate drizzle without (1.00),##ening? (0.96),none,short (1.00),none,none
Why does my stomach hurt after eating ice cream?,stomach (0.80),ice cream (1.00),none,none,none,none
How are Sabayon and Zabaglione similar? What makes either of them so difficult to make?,sabayon and zabaglione similar (1.00),none,none,none,none,none
Why can’t McDonald’s clean the ice cream machine overnight?,mcdonald ’ s clean the ice cream machine overnight (1.00),none,none,none,none,none
Are ice cream makers loud?,ice cream makers (1.00),none,none,none,none,none
What do you do when you make your mother’s chocolate cheesecake card recipe from the 80s and it is too good?,mother ’ s chocolate cheesecake card recipe from the 80s (1.00),it is (1.00),good (0.89),too (0.45),none,none
Can you freeze yogurt and eat it like ice cream?,yogurt (1.00),it like ice cream (0.95),none,none,none,none
Can ice cream aggravate acid reflux?,ice cream aggravate acid reflux? (1.00),none,none,none,none,none
How do I keep whipped cream from melting?,whipped cream from melting? (0.96),none,none,none,none,none
What happens if I accidentally used soft peak meringue for making meringue cookies? What will happen? They’re in the oven and they’re expanding a lot.,soft peak meringue for making meringue cookies (1.00),they (0.99),oven (0.85),expanding (0.90),none,none
What is the best store-bought vanilla ice cream?,the (0.99),best store - bought vanilla ice cream? (0.94),none,none,none,none
Are you a chocolate or vanilla person? Why?,chocolate or vanilla person (1.00),none,none,none,none,none
How much is Blue Bunny ice cream?,blue bunny ice cream (1.00),none,none,none,none,none
"Apart from breakfast and those choc nest rock things, what else can you do with cornflakes?",choc nest rock things (1.00),##flakes (0.76),none,breakfast and (0.74),corn (1.00),none
Is an ice cream shop a good business?,ice cream shop (1.00),business (0.68),none,none,none,none
I want to try the Dairy Queen Cotton Candy Blizzard but I'm not sure I like it. Do they successfully mix cotton candy with ice cream?,dairy queen cotton candy blizzard (1.00),cotton candy with ice cream (1.00),none,none,none,none
How do I make a 7-up cake icing?,7 - up cake icing (1.00),none,none,none,none,none
Is it possible to survive eating nothing but ghost peppers and ice cream?,nothing but ghost peppers and ice cream (1.00),none,none,none,none,none
I cannot finish my dessert. It is too sweet. What can I do?,dessert (1.00),sweet (0.74),none,none,none,none
When is the best time to eat dessert?,dessert (1.00),none,none,none,none,none
What kind of liqueur should I use for a tiramisu?,##queur (0.99),tiramisu (1.00),none,li (1.00),none,none
How much cream and sugar is in coffee?,coffee (0.83),none,none,cream and sugar is in (0.86),none,none
What are the ingredients in a flan?,flan? (1.00),none,none,none,none,none
Which Keto bread and Keto desserts do you love?,keto bread and keto desserts (1.00),none,none,none,none,none
Do people usually eat dessert every night or only on special occasions?,dessert every night (1.00),only (0.71),occasions (1.00),special (0.80),none,none
"Dear autists, my 7 year old daughter (also autistic) hates ice cream, popsicles, anything cold. I'm curious if this has anything to do with autism. It almost seems like a sensory overload. Do any of you have an aversion to eating cold things?",dear autists (0.98),"7 year old daughter ( also autistic ) hates ice cream, popsicles, anything cold (1.00)",sensory overload (0.98),autism (1.00),##rs (0.58),eating (1.00)
Is it possible to make cheesecake without having it in the oven?,cheesecake (1.00),it (0.70),the oven (0.93),none,none,none
How long does it take to cook a pecan pie?,pecan pie (1.00),none,none,none,none,none
Can one use butter to replace cream or milk in drinks?,butter (0.76),cream or milk in drinks (1.00),none,none,none,none
What do you think of strawberry ice cream?,strawberry ice cream? (0.88),none,none,none,none,none
How could you prepare a delicious dessert with some not very well-known oriental fruit?,delicious dessert with some (1.00),very well - known oriental fruit (1.00),none,not (0.99),none,none
What kinds of fruits can I dip in whip cream?,fruits (0.99),whip cream (1.00),none,none,none,none
Does anyone really like fruitcake?,fruitcake (1.00),none,none,none,none,none
How do I get blue moon flavored ice cream in South Carolina? Do they sell it in tubs?,blue moon flavored ice cream in south carolina (1.00),it in tubs (0.97),none,none,none,none
Which light corn syrup makes the best pecan pie filling: Crown or Karo?,corn syrup (1.00),the best pecan pie filling : crown or karo? (1.00),none,light (0.51),none,none
Can you thicken custard with gelatin?,thick (0.99),custard with gelatin? (0.94),none,none,none,none
How do you make a store-bought mug cake?,store - bought mug cake (1.00),none,none,none,none,none
"Why have cupcakes become so popular, in-style?",cupcakes (1.00),popular (1.00),in - style (1.00),none,none,none
Would you want a cake mix that only makes a single serving slice of cake?,cake mix (1.00),only makes a single serving slice of cake (1.00),none,none,none,none
Can I eat a whole tub of ice cream without getting any major illnesses?,whole tub of ice cream (1.00),none,none,getting (0.96),major illnesses (0.83),none
Is ice cream healthy for the elderly?,ice cream (1.00),elderly (0.62),none,none,none,none
How long does it take to freeze ice cream in an ice cream maker?,ice cream in an ice cream maker (1.00),none,none,none,none,none
How do I make whipped cream last longer?,whipped cream last longer (1.00),none,none,none,none,none
Why does fondant melt on whipped cream?,fondant melt on whipped cream (1.00),none,none,none,none,none
Why do ice cream scoops have liquid inside the handle?,ice cream scoops have (0.98),inside the handle (1.00),none,liquid (1.00),none,none
How do you eat ice cream without catching a cold?,ice cream (1.00),? (1.00),none,catching (1.00),cold (0.97),none
"Are there any desserts which include cooked rice, but are not rice pudding?",dessert (1.00),none,none,"cooked rice, but (0.92)",rice pudding (0.95),none
What is your favorite Baskin Robbins ice cream flavor? Why?,favorite baskin robbins ice cream flavor (1.00),none,none,none,none,none
Would you eat strawberry ice cream?,strawberry ice cream (1.00),none,none,none,none,none
How long can milk and ice cream stay in a car when it is 40 degrees out?,milk and ice cream stay in (0.96),car when it (0.99),40 degrees out (0.89),none,none,none
Why is ice cream always so soft when you first open the container and gets so hard over time with the lid closed in the freezer?,ice cream always (1.00),soft when you first open the container and gets so hard over time with the lid closed in the freezer (0.98),none,none,none,none
Why do milkshakes come from ice cream and milk?,milkshakes (1.00),from ice cream and milk (1.00),none,none,none,none
What causes a sandy texture in ice cream?,sandy texture in ice cream? (0.97),none,none,none,none,none
How do I make a cake for kids?,cake (1.00),none,none,kids (0.98),none,none
"If a cake is way too soft and it crumbles at the touch and it also didn’t rise, why?",cake (1.00),soft (0.65),touch (0.52),it (0.43),crumbles (0.52),at (0.40)
Is it okay for kids to eat tiramisu cake?,tiramisu cake (1.00),none,none,none,none,none
How do you know when baked custard is done?,baked custard is done (1.00),none,none,none,none,none
How much batter should I put in a cupcake?,cupcake (1.00),none,none,batter (1.00),none,none
How do I make fluffy icing for cupcakes?,fluffy icing for cupcakes (1.00),none,none,none,none,none
Is it okay to eat mint ice cream every morning?,mint ice cream (1.00),morning (1.00),none,none,none,none
"If you were an ice cream flavor, what would it be?",ice cream flavor (1.00),none,none,none,none,none
How can I revive a stale pastry?,stale pastry (1.00),none,none,none,none,none
What causes homemade ice cream to leave a waxy film in the mouth?,homemade ice cream (1.00),leave (0.99),waxy film in the mouth (1.00),none,none,none
Why should I eat ice cream in winter?,ice cream (1.00),winter (1.00),none,none,none,none
"Can we find glaciers, deserts, and rainforests in the same country?","glaciers, deserts, and rainforests (1.00)",none,none,none,none,none
Which US state's citizens eat more ice cream per capita than any other?,us state (0.87),ice cream per capita than (0.99),other (0.77),none,none,none
What is the finest chocolate in the world?,finest chocolate (0.71),none,none,none,none,none
Should Skittles make skittles flavor ice cream for customers for the market?,skittles (0.98),skittles flavor ice cream for customers (0.96),none,none,none,none
How do I make icing for cinnamon buns?,icing for cinnamon buns (0.99),none,none,none,none,none
"What's better, fluffy cakes or dense cakes?",better (0.78),fluffy cakes or dense cakes (1.00),none,none,none,none
Why do my cake loaves have a rubbery texture instead of a crumbly texture?,cake loaves (1.00),##y texture instead of a crumbly (0.91),none,rubber (0.75),texture (0.74),none
"In situations where someone requests a birthday cake with less icing sugar in the buttercream than reccomended, Do I make the buttercream a day in advance and freeze it to make sure its firm and not too runny? Or will this make the icing TOO firm?",birthday cake with less icing sugar in the buttercream than reccomended (1.00),buttercream a day in advance (1.00),it (1.00),firm (0.89),none,none
Do you like cupcakes?,cupcakes (1.00),none,none,none,none,none
Can you use a dessert syrup instead of flavouring? I need a Raspberry flavouring to mix in with white chocolate or an alternative.,dessert syrup instead of flavouring (1.00),raspberry flavouring to mix in with white chocolate (1.00),an alternative (0.92),none,none,none
Which fruits can ruin your gelatin dessert?,gelatin dessert (1.00),none,none,fruits (0.95),none,none
How long do you cook cupcakes for?,cupcakes for (1.00),none,none,none,none,none
Where in the UK do they sell small pots of plain vanilla ice cream for me to eat out of the pot with a spoon?,small pots of plain vanilla ice cream (1.00),eat out of the pot with a spoon (0.99),none,none,none,none
I am having a really hard day. Do you think that ice cream from the ice cream parlor will help?,really hard day (0.79),ice cream from the ice cream parlor (1.00),none,none,none,none
The last thing that you ate becomes a popular ice cream flavor. What was it and will you participate in that trend?,thing (0.99),popular ice cream flavor (1.00),was it (0.87),trend (0.56),none,none
Is it safe to eat a pint of ice cream?,pint of ice cream (1.00),none,none,none,none,none
"Which one do you like better, ice cream or being in a romantic relationship?","better, ice cream or being (1.00)",romantic relationship (0.98),none,none,none,none
Are hostess CupCakes vegetarian?,cupcakes (0.95),none,none,none,none,none
I am getting burned out on chocolate flavored desserts. What is the second most popular flavor that comes to desserts?,chocolate flavored desserts (1.00),second most popular flavor that (0.82),desserts (0.93),none,none,none
How do I package cupcakes for a bake sale?,cupcakes for a bake sale (1.00),none,none,none,none,none
Do you like ice cream cake?,ice cream cake (1.00),none,none,none,none,none
Why do children like ice cream?,children (0.99),ice cream (1.00),none,none,none,none
"Which candy do you prefer, Mike and Ike or Good&Plenty?",candy (0.63),", mike and ike or good & plenty (1.00)",none,none,none,none
How do I make a parfait with yogurt?,parfait with yogurt? (0.94),none,none,none,none,none
Should we serve prisoners fast food and ice cream desserts so that they all get fatter and weaker when they’re finally released?,prisoners fast food and ice cream desserts so (1.00),they all get (0.99),##ter and weaker when they ’ (0.96),fat (0.98),none,none
Do you like bagels with cream cheese?,bagels with cream cheese (1.00),none,none,none,none,none
"Do you ever eat pots of plain vanilla ice cream out of the pot with a spoon? I do, I love it",pots (1.00),plain vanilla ice cream out of the pot with a spoon (1.00),none,it (0.97),none,none
Can coconut cream be mixed with milk as a substitute for half-and-half for making ice cream?,coconut cream (1.00),mixed with milk as (1.00),substitute for half - and - half for making ice cream (1.00),none,none,none
What is Japan's favorite ice cream?,japan's favorite ice cream (1.00),none,none,none,none,none
What is the difference between an angel food cake and a chiffon cake?,angel food cake (1.00),a chiffon cake (0.99),none,none,none,none
"I want to lose 10 pounds by next month, but I don’t want to go about it by working out. What are some ""healthier"" options of chips, ice cream, soda, and any other fatty foods?",10 pounds by next month (0.96),out (0.71),""" (0.69)",working (1.00),none,none
Are ice cream makers worth buying?,ice cream makers (1.00),none,none,none,none,none
Which desserts are the most popular where you live and why?,dessert (0.95),why (0.30),none,popular (0.37),none,none
Wouldn’t an individual child be getting the same nutrition whether they ate their dessert before or after their main meal?,individual child (1.00),same nutrition whether they ate their dessert before or after their main meal (0.84),none,none,none,none
"What's your favorite flavor ice cream, and how do you like to eat it?","favorite flavor ice cream, (1.00)",it (0.99),none,none,none,none
I need to know how to serve single serve ice cream cups at a reception? Should we layer regular ice on top of dry ice?,single serve ice cream cups (1.00),reception (1.00),regular ice on top of dry ice (0.99),none,none,none
Can we have Turkish ice cream without letting the vendor perform tricks?,turkish ice cream (1.00),vendor perform tricks (0.98),none,none,none,none
Do you know how to make an Apple dessert?,apple dessert (1.00),none,none,none,none,none
Why do Indonesians eat cheese as a dessert?,indonesian (0.95),cheese as a dessert (1.00),none,none,none,none
I’m not a fan of root beer but I love ice cream treats. Should I try putting a couple scoops of vanilla ice cream in an ice cold glass of Coca Cola?,beer (1.00),cream treats (1.00),couple scoops of vanilla ice cream in (1.00),root (1.00),ice (0.56),none
"What is the name of a mild chocolate cake with a thin gelatin/gelled layer in the middle? I think it has Russian, Ukrainian, or Jewish origins.",mild chocolate cake with a thin gelatin / gelled layer in the middle (1.00),", ukrainian, or jewish (1.00)",none,russian (0.98),none,none
How long does flan take to set in the fridge?,flan (0.76),fridge (0.76),none,none,none,none
Is water a good substitute for milk in Jello Pudding?,milk in jello pudding (1.00),none,none,water (0.98),none,none
What is the best brand of frozen egg rolls?,the best (1.00),frozen egg rolls? (1.00),none,none,none,none
What kinds of fruits are best with cream cheese?,fruits (1.00),with cream cheese (0.88),none,none,none,none
My grandmother used to serve a dessert called ice milk instead of ice cream. I never see it in the grocery store anymore. Does anyone still make it?,dessert called ice milk instead of ice cream (1.00),store (1.00),it (0.45),grocery (0.50),none,none
How do I keep desserts chilled in a display? I sell small batches of baked goods to a cafe and am allowed one glass cake stand for display. Is there a cooling pad or something I can buy to keep desserts with fruit or whipped cream cool all day?,desserts chilled in a display (1.00),small batches (1.00),baked goods (1.00),display (0.96),none,none
What is the best 3-ingredient cake recipe?,the best 3 - ingredient cake recipe (1.00),none,none,none,none,none
"If water and butter do not mix together (as oils are hydrophobic), then why are water and fats very well mixed in an ice cream?",and (0.69),( as oils are hydrophobic ) (0.77),and fats (0.94),water (0.82),butter (0.71),together (0.29)
Would you eat vanilla ice cream made from plastic bottles?,vanilla ice cream made from plastic bottles (1.00),none,none,none,none,none
Is creamed butter and sugar grainy?,creamed butter and sugar grainy? (1.00),none,none,none,none,none
Does it make sense for a cake icing recipe to call for vinegar but not baking soda?,cake icing recipe (1.00),vinegar but not baking soda (0.98),none,for (0.56),none,none
Why do wedding cakes never taste good?,wedding cakes (1.00),none,none,good (0.94),none,none
What are good desserts to pair with pasta bolognese?,dessert (1.00),pair with pasta bolognese (0.94),none,none,none,none
What happens if you eat too much ice cream?,too much ice cream? (0.96),none,none,none,none,none
Which cake frosting is your favorite to use on a homemade cake?,cake frosting (0.90),homemade cake (1.00),none,none,none,none
What is the worst flavor of ice cream that you have tasted?,worst flavor (0.71),ice cream that (1.00),none,tasted (0.57),none,none
Is there a way to make creme brûlée without using a broiler?,creme brulee (1.00),##iler (1.00),none,using (1.00),bro (0.72),none
Ben and Jerry's has called to dismantle the police. What will the anti-cop ice cream flavor be called?,ben and jerry's (1.00),##sman (0.57),police (1.00),none,none,none
What is the most popular dessert in Chile?,popular (0.58),dessert (1.00),chile (0.53),none,none,none
What is your favourite Spanish dish or dessert and your favourite recipe for it?,favourite spanish dish or dessert (0.99),favourite (0.98),none,it (0.48),none,none
What is the best ice cream maker?,the best ice cream maker (1.00),none,none,none,none,none
"Is there a cardiovascular difference between eating a pint of ice cream in one sitting versus eating it over a period of time, such as a week?",difference (0.68),pint of ice cream in one sitting (1.00),it (1.00),cardiovascular (0.98),none,none
How am I supposed to lose weight when I love desserts so much?,desserts so much (0.99),none,none,weight (1.00),none,none
What are the mechanics of a can of Reddi Wip (whipped cream)? How does it work?,can of reddi wip ( whipped cream ) (1.00),none,none,none,none,none
How do I make a cake for someone who doesn’t like sweets?,cake (1.00),none,none,sweets (1.00),none,none
What is the best way to scoop ice cream?,ice cream? (1.00),none,none,none,none,none
Why were cornflakes invented? For what reason did it come in this life?,cornflakes (1.00),none,none,it (0.76),none,none
How do I make ice cream sandwich cookies?,ice cream sandwich cookies (1.00),none,none,none,none,none
"Why do your teeth hurt when you eat ice cream? How do you control it? Every time I eat ice cream, my gums ache.",ice cream (1.00),it (0.46),ice cream (1.00),teeth (0.87),gums (0.69),none
What is the name of the famous dessert made of lemon on the Amalfi Coast?,famous dessert made of lemon on the amalfi coast (1.00),none,none,none,none,none
Can I put ice cream in the fridge instead of the freezer? For how long would that be healthy for the product?,ice cream in (1.00),fridge instead of the freezer (1.00),long (0.94),none,none,none
What's your favorite recipe to use for banana pudding? Why is it your favorite?,banana pudding (1.00),favorite (0.38),none,none,none,none
Why is lactose-free ice cream so good?,lactose - free ice cream (1.00),good (1.00),none,none,none,none
Would you kill for a Klondike ice cream bar?,klondike ice cream bar (1.00),none,none,none,none,none
Why does ice cream get so hard in the freezer?,ice cream get so hard in the freezer (0.93),none,none,none,none,none
What desserts can I eat while losing weight?,dessert (0.99),none,none,weight (0.99),none,none
How do I make perfectly round cake pops?,perfectly round cake pops? (1.00),none,none,none,none,none
What syrups go best on vanilla ice cream?,syrups go (0.54),best (0.43),vanilla ice cream? (1.00),none,none,none
"Which one has to go forever, chocolate, cake, or ice cream? Which do you banish?","forever, chocolate, cake, or ice cream? (0.96)",none,none,none,none,none
Why can I eat ice cream and cookie dough and drink a big milkshake one day and be fine yet a few days later eat some pasta with cream sauce and trigger the most uncomfortable diarrhoea and abdominal bloating?,ice cream and cookie dough and drink a big milkshake one day (1.00),fine yet (0.94),few days later (0.95),none,none,none
Who can give me a simple recipe for dessert (no baking needed)?,simple (1.00),dessert ( no (1.00),needed ) (1.00),baking (0.85),none,none
"Are store-bought pastries and desserts made with lard, butter, or other margarine?","store - bought pastries and desserts made with lard, butter, or other margarine (1.00)",none,none,none,none,none
How do you fix gelatin that didn't set?,gelatin that didn't set (1.00),none,none,none,none,none
Which breakfast foods are really just desserts masquerading as breakfast?,breakfast foods (0.75),desserts masquerading as breakfast (0.99),none,none,none,none
How do I make powder makeup into cream?,powder makeup into cream? (1.00),none,none,none,none,none
How long is it okay to keep the ice cream in the freezer?,ice cream in the freezer (1.00),none,none,none,none,none
Why doesn’t Ben & Jerry’s sell ice cream in gallons?,’ (0.51),ben & jerry ’ s sell ice cream in gallons (1.00),none,none,none,none
Would fruits taste good in vanilla ice cream?,fruits (1.00),in vanilla ice cream (0.99),none,none,none,none
What desserts did they eat in the Renaissance?,dessert (0.97),renaissance (0.37),none,none,none,none
Why doesn’t ice cream smell like sherbet?,ice cream (1.00),sherbet (1.00),none,none,none,none
How do I make cream for snow cones?,cream for snow cones? (0.95),none,none,none,none,none
What is the best dessert to serve with lasagna?,the best dessert (1.00),serve with lasagna? (0.99),none,none,none,none
"Even though Chinese buffets are my favorite, the dessert is always a disappointment. What are some good Chinese desserts?",chinese buffets (0.89),favorite (0.63),dessert (0.97),none,none,none
Which city gave its name to a three-coloured Neapolitan ice cream?,city (0.39),three - coloured neapolitan ice cream? (1.00),none,none,none,none
What are the most cream pies you have had in one day?,cream pies (0.81),none,none,none,none,none
How do I make ice cream by hand?,ice cream (1.00),none,none,none,none,none
How can you make mango ice cream at home with natural mangoes?,mango ice cream (1.00),with natural mangoes (1.00),none,none,none,none
What do I do when I eat pineapple and ice cream at the same time?,pineapple and ice cream (1.00),none,none,none,none,none
Is Magnum ice cream healthy?,magnum ice cream healthy (0.91),none,none,none,none,none
How long does it take for Nilla Wafers to soften in banana pudding?,nilla wafers to soften in banana pudding (1.00),none,none,none,none,none
What is the favorite dessert in the UK? Is it served elsewhere in the world?,favorite dessert (0.99),uk (0.76),served (0.48),none,none,none
How is McDonald's soft serve ice cream made?,mcdonald's soft serve ice cream made (1.00),none,none,none,none,none
Has anyone ever tasted chocolate mint ice-cream? What was your reaction when you did?,chocolate mint ice - cream? (1.00),reaction (0.40),none,none,none,none
"If selling your gelato or ice cream in a restaurant that is not yours, how is inspection dealt with (at least in VA)? In most cases, do restaurants charge for square footage and partial utilities, or a portion of the sale?",gelato or ice cream in a restaurant that (0.96),dealt with ( at least in va ) (0.93),restaurants (0.64),yours (0.90),inspection (0.95),none
What does buttermilk pie taste like?,buttermilk pie (1.00),none,none,none,none,none
Is ice cream a less unhealthy snack than chocolate?,ice cream (1.00),less unhealthy snack than (1.00),none,chocolate (0.98),none,none
