utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
What are some advantages of preparing foods from scratch?,foods (1.00),none,none,scratch (0.84),none,none
When did slicing bread start to become more common than breaking bread? Was this a change that occurred prior to bread slicing machines or only after?,slicing bread (1.00),more common than breaking bread (0.98),occurred prior (0.33),change (0.31),none,none
How do people not cook?,none,none,none,none,none,none
What made you learn to cook?,none,none,none,none,none,none
Is it possible and realistic to have only one standardized way of cooking a particular dish?,particular (0.54),dish (0.94),none,standardized (0.53),none,none
"Can you cook a steak in a smoker? How does it compare to grilling, broiling, and pan-searing?",steak in a smoker (1.00),it (1.00),"grilling, broiling, and pan - searing (0.95)",none,none,none
How much water is added for 1 kg of rice?,1 kg of rice (1.00),none,none,water (1.00),added (0.48),none
Why are there no high-end Chinese dishes?,high - end chinese dishes (0.99),none,none,none,none,none
What can you do to start liking tomatoes?,tomatoes (1.00),none,none,none,none,none
Which condition would cause you to reject a shipment of fresh chicken?,shipment of fresh chicken? (1.00),none,none,none,none,none
Do they have Pillsbury instant pizza in the US like they have in my country? They are very delicious and can be cooked alone at home.,delicious (0.35),none,none,pillsbury instant pizza in the us (0.97),none,none
"If you went to cooking and your teacher was Gordon Ramsay, what would he say when he saw how you cook?",gordon ramsay (0.81),none,none,teacher (0.52),none,none
What is the mirepoix of French cooking?,mirepoix of french cooking (1.00),none,none,none,none,none
Is Wagyu good?,wagyu (0.96),none,none,none,none,none
Why do chefs often put a wooden spoon across a pot of boiling water?,chefs (0.70),wooden spoon across a pot of boiling water (1.00),none,none,none,none
How do I cook on a cast iron griddle?,cast iron griddle? (1.00),none,none,none,none,none
What do you call foods cooked in a frying pan?,foods cooked in a frying pan (1.00),none,none,none,none,none
Is cooking shirtless a bad idea? I accidentally touched my tummy with a hot frying pan and burned the skin slightly.,shirtless (1.00),tummy with a hot frying pan (0.97),slightly (0.90),skin (0.66),none,none
Guy is making Bananas Foster for dessert. The recipe calls for one quart of ice cream. How many cups of ice cream is Guy going to get from one quart of ice cream?,guy (0.40),bananas foster for dessert (1.00),recipe (0.99),none,none,none
Is Bovril the same as Vegemite?,bovr (0.37),##il (0.27),as (0.46),none,none,none
Does Europe BBQ brisket?,europe bbq brisket (1.00),none,none,none,none,none
Are electric food steamers good?,electric food steamers (1.00),none,none,none,none,none
How can I make a filet mignon so tender it cuts with a fork? The first one I ever had was like that and none since.,filet mignon so tender it cuts with a fork (1.00),first one (1.00),none,since (0.99),none,none
"Which to choose: a thick juicy steak with fat fries, or a fat sizzling hamburger with onions and all the toppings, accompanied by slim-sliced fried potatoes? Which would you prefer, and why? Analyze. Assess. Elaborate.","thick juicy steak with fat fries, or a fat sizzling hamburger with onions and all the toppings, accompanied (1.00)",- sliced fried potatoes? (1.00),", and why (0.99)",slim (1.00),none,none
Do you need to change the fuse on a microwave oven?,fuse on (0.86),microwave oven (1.00),none,none,none,none
Can you deep fry a cake?,cake (1.00),none,none,none,none,none
Where can I buy a gold leaf for baking in NYC?,gold leaf for baking in nyc (1.00),none,none,none,none,none
What are some dishes that were popular in the '60s that no one serves anymore?,dishes (1.00),' 60s that (0.75),serves anymore (0.39),no (0.40),one (0.60),none
Can you make oatmeal with just hot water?,oatmeal with just hot water (1.00),none,none,none,none,none
"At a dinner party, how can you politely tell the host their cooking isn’t nice?",dinner party (0.86),host (0.94),t (0.46),cooking (0.89),nice (0.55),none
I can't bake and I'm tired of it. What do I do?,i (0.96),bake (0.89),none,it (1.00),none,none
How do I boil an egg without its shell getting cracked during boiling?,egg (1.00),none,none,its shell getting cracked during boiling (0.94),none,none
Is cooking also a kind of science?,science (0.34),none,none,none,none,none
Is it safe to cook in clay pots?,clay pots (1.00),none,none,none,none,none
Can a microwave be installed above a stove?,microwave (1.00),installed (0.77),stove (0.96),none,none,none
How is cubed steak made? Why?,cubed steak (1.00),none,none,none,none,none
Why isn't homemade pizza as good as a pizza joint one?,homemade pizza (1.00),good as a (1.00),pizza joint one (0.96),none,none,none
"How can I introduce eggs to my diet? I have detested eggs since birth. I don't like the flavor or texture, but they are very healthy. I have tried slightly burning them when I cook them to get rid of the texture issue, but it wasn't enough.",eggs (1.00),them (0.49),none,detested eggs (0.77),the (0.88),flavor or texture (0.97)
Are egg noodles an acceptable substitute for tagliatelle or papparedelle?,egg noodles (1.00),tagliatelle or papparedelle? (0.98),none,none,none,none
Is pancake batter the same as funnel cake batter?,pancake batter (1.00),as (0.40),funnel cake batter (1.00),none,none,none
How many burgers can you get out of a pound of meat?,burgers (0.90),pound of meat (0.97),none,none,none,none
Can pastry cream be more than just vanilla?,pastry cream (1.00),just vanilla (0.88),none,none,none,none
Can gluten develop without kneading?,gluten (0.99),none,none,without (0.48),kneading (0.99),none
Which type of turkey is best for cooking?,turkey (0.89),none,none,cooking (0.78),none,none
How do I cook a turkey without an oven?,turkey (1.00),none,none,an (1.00),oven (1.00),none
How do I get Gordon Ramsay to taste my food?,gordon ramsay (1.00),taste (0.95),food (1.00),none,none,none
"Are there actually bad foods, or is it all just bad cooks?",none,none,none,bad foods (0.80),bad cooks (0.86),none
Which type of pizza would best represent each of the four seasons?,pizza (1.00),each of the four seasons (0.72),none,none,none,none
What can you do with an old rice cooker?,old rice cooker (1.00),none,none,none,none,none
Why did Tyson recall 8 million pounds of chicken?,8 million pounds of chicken (0.86),none,none,tyson (0.56),none,none
"In an upscale restaurant if you were eating pork or lamb chops, could you use your hands to eat all the yummy meat off the bone?",upscale restaurant (1.00),pork or lamb chops (1.00),the yummy meat off the bone (0.99),hands (0.98),none,none
How do you impress a chef?,chef (1.00),none,none,none,none,none
Why has oxtail become so expensive and such a desired cut of meat?,oxtail (1.00),expensive (0.97),desired cut of (0.75),meat (0.97),none,none
Would it be easier to grate a potato if I froze it a bit?,potato (1.00),it (0.74),none,none,none,none
How many days can chicken be cooked in the fridge?,days (0.73),chicken (1.00),cooked in the fridge (0.89),none,none,none
"As someone who lives with your family, do you let your family decide the food that you are going to eat, or do you decide for your own food? Is it bad to tell my parent that I prefer another food instead of what they are cooking?",food (0.93),food (0.60),bad (0.49),family (0.54),family (0.51),another (0.46)
Does it upset you if you are trying to cook in the kitchen and people keep coming in to your space while you’re trying to cook?,in the kitchen (1.00),space (0.39),none,none,none,none
What do you cook when your grandchildren visit you?,grandchildren (0.65),none,none,none,none,none
What should I look for when buying a rice cooker?,rice cooker (1.00),none,none,none,none,none
How do you grind herbs without a grinder?,herbs (1.00),none,none,a (1.00),grinder (1.00),none
Should we remove scales off of salmon before cooking?,scales off of salmon (0.94),none,none,cooking (0.91),none,none
How many 1/8 cups does it take to make a cup?,1 / 8 cups (0.97),cup (1.00),none,none,none,none
How do you know when an eggplant is done baking?,eggplant is done baking (1.00),none,none,none,none,none
How do Chinese restaurants get their beef to be so tender? Like beef in black bean sauce or Mongolian beef etc. It almost falls apart in the mouth.,chinese restaurants (0.91),beef (0.97),be so tender? like beef in black bean sauce or mongolian beef etc. it almost (1.00),none,none,none
What liquid can you add to pulled pork?,pulled pork? (1.00),none,none,liquid (0.95),none,none
"If humans aren’t designed to eat meat because we have to cook it, why do we cook anything?",meat (1.00),anything (0.99),none,it (0.29),none,none
"When you wash rice before cooking it, why does the water turn white?",rice (1.00),none,none,water (0.89),white (0.43),none
How do I cut beef for stir fry?,beef for stir fry (1.00),none,none,none,none,none
Why do you add water to canned soup?,water (0.59),canned soup (1.00),none,none,none,none
What is a submarine sandwich?,submarine sandwich (1.00),none,none,none,none,none
"Why does American pizza (Chicago style deep dish, New York, etc.) taste so much better than the original Italian pizza?","american pizza ( chicago style deep dish, new york, etc. ) (1.00)",much (1.00),original italian pizza (0.97),better (0.50),none,none
Can you put paper towels in an air fryer?,paper towels in (1.00),air fryer (1.00),none,none,none,none
Is brass cookware good for cooking?,brass cookware (0.74),none,none,cooking (0.99),none,none
How many times should you flip a steak when cooking?,steak when cooking (1.00),none,none,none,none,none
Why is it every time I make doughnuts they go all starchy hard instead of being light and fluffy like they’re supposed to be?,doughnuts they go all starchy hard instead of being light and fluffy like they ’ (1.00),none,none,none,none,none
Is butter okay to reseason old cast iron skillets?,butter (0.71),##eason old cast iron skillets (0.93),none,res (0.46),none,none
How much lye do I use in making homemade soap?,homemade soap (1.00),none,none,lye (1.00),none,none
What do butchers/chefs do with the trimmings off of aged high-end beef meats?,butchers / chefs (1.00),the trimmings off of aged high - end beef meats (0.97),none,none,none,none
What is the most difficult vegetable to extract oil from?,most (0.70),difficult (0.52),vegetable (0.80),none,none,none
What is a Futomaki roll?,futomaki roll (1.00),none,none,none,none,none
"When it comes to English culinary cuisine, I believe Shepherd's Pie to be the top of the menu. Can you change my mind?",english culinary cuisine (0.98),shepherd's pie to be the top of the menu (0.99),none,none,none,none
What is the secret of making sandwiches that appeal to kids?,sandwiches (1.00),appeal (0.93),none,kids (0.99),none,none
What fresh herbs do you recommend having on hand?,hand (0.35),none,none,fresh herbs (0.94),none,none
"When a recipe calls for partial ingredients, such as only the egg yolk, what are you supposed to do with the rest?",recipe (0.75),"partial ingredients, such as only the egg yolk (0.95)",none,rest (0.94),none,none
Does meat or chicken lose any of its nutrients when ground up?,meat (0.85),chicken (0.67),when ground up (0.58),nutrients (0.94),none,none
What could go well to add a crunch to rice for lunch?,crunch to rice for lunch? (1.00),none,none,none,none,none
Can you make beaver tails in an air fryer?,beaver tails in an air fryer (1.00),none,none,none,none,none
"What is the correct method of cooking rice, boil and drain or boil with just the right amount of water to cook to finish?","rice, boil and drain or boil with just the right amount of water (1.00)",none,none,finish (0.51),none,none
What is the best technique to ensure pan-fried sandwiches (e.g. a reuben) does not fall apart when you flip it?,pan - fried sandwiches ( e. g. a reuben ) does not fall apart when (1.00),it (0.85),none,none,none,none
Who has a recipe that everyone says is the best they’ve ever tasted and will list it?,the best they ’ ve ever tasted (0.98),will list (0.79),none,it (0.34),none,none
"What is the best summer recipe, make fruit salad or vegetable salad?",the best summer recipe (0.89),fruit salad or vegetable salad (0.98),none,none,none,none
What happens if you stir rice while cooking?,rice while cooking (0.97),none,none,none,none,none
What are fried dumplings called?,fried dumplings called (0.97),none,none,none,none,none
Is cooking oatmeal with milk healthy?,oatmeal with milk healthy (1.00),none,none,none,none,none
What are some dishes that are impossible to make without a commercial kitchen?,dishes (1.00),none,none,commercial kitchen (1.00),none,none
Are ceramic knives more dangerous to use and sharpen than steel blade knives?,ceramic knives (0.99),and (0.41),##n than steel blade knives (0.92),use (0.87),sharpe (0.52),none
"How do good restaurants offer a wide assortment of dishes in a fairly short span of time for preparation? It takes me about an hour just to prepare one dish, e.g., pad thai or beef stroganoff.",restaurants (0.81),wide assortment of dishes in a fairly short span of time for (0.96),dish (0.88),preparation (0.96),none,none
Why doesn't sugar melt in the oven?,sugar melt in the oven (0.82),none,none,none,none,none
We moved and now my stove and oven heat up slower. What might cause that?,stove and oven heat up slower (0.98),none,none,that (0.43),none,none
How did the colonists cook pumpkin pie?,colonists (0.54),pumpkin pie (1.00),none,none,none,none
How does plating affect the presentation of a dish?,dish (1.00),none,none,plating (1.00),none,none
Would cooking tomatoes separately from other ingredients make a difference in a tomato-sauce dish?,tomatoes separately from other ingredients (0.91),difference in a tomato - sauce dish (0.90),none,none,none,none
"Can you freeze homemade pizza dough, and does it affect its quality?",homemade pizza dough (0.99),none,none,its (0.77),quality (0.84),none
Would it be wise to fillet my prized koi for dinner?,prized koi for dinner (0.94),none,none,none,none,none
Can you freeze homemade potato pancakes?,homemade potato pancakes (0.87),none,none,none,none,none
Why would a person order a well done steak?,well done steak (1.00),none,none,none,none,none
Can you overdose on Tabasco?,tabasco (0.62),none,none,none,none,none
How do I tell my mom that I tell her “fresh out the oven” when we order pizza?,fresh out the oven ” when (0.91),pizza (1.00),none,none,none,none
Where can you buy flat hot dogs (the kind that fit on a hamburger bun and hold more condiments)?,flat hot dogs ( the kind that fit on a hamburger bun and hold more condiments ) (1.00),none,none,none,none,none
What can I put behind my grill to prevent my house siding from getting hot?,house siding (0.85),none,none,grill (0.52),hot (0.70),none
What internal temperature should a steak be cooked to?,steak (1.00),none,none,internal temperature (0.95),none,none
What is the best way to bake frozen Apple pies?,frozen apple pies (0.96),none,none,none,none,none
"Borracho (""drunken,"" pinto) beans are mainly a Tex-Mex dish, but would it be acceptable to bring them to a 4th of July BBQ (in lieu of traditional baked beans)?","borracho ( "" drunken, "" pinto ) beans (1.00)","tex - mex dish, (0.92)",4th of july bbq ( in lieu of traditional baked beans ) (1.00),none,none,none
What brands of pickles are fermented?,pickles are fermented? (0.98),none,none,none,none,none
What's a good substitute for ENO fruit salt?,eno fruit salt? (1.00),none,none,none,none,none
What is beef bullion compared to beef broth or stock?,beef bullion compared (0.97),beef broth or stock (0.93),none,none,none,none
Do ribs get more tender the longer they cook?,ribs (1.00),none,none,tender (1.00),none,none
What is wagon wheel pasta called?,wagon wheel pasta called (1.00),none,none,none,none,none
How do I layer a mason jar salad?,mason jar salad (1.00),none,none,none,none,none
What is the highest quality Wusthof knife?,highest quality wusthof knife (1.00),none,none,none,none,none
Why do we need to cook chicken all the way through but not duck?,chicken all the way through but not duck (1.00),none,none,none,none,none
Which bird is a common dish in France?,bird (0.46),common (0.87),dish (0.71),none,none,none
Is homemade vanilla better with vodka or bourbon?,homemade vanilla (0.79),or (0.77),none,vodka (1.00),bourbon (0.89),none
How rare can you eat a steak?,steak (1.00),none,none,none,none,none
What ingredients are normally used to thicken teriyaki sauce?,thicken teriyaki sauce? (1.00),none,none,ingredients (0.88),none,none
Have you ever used a wrong ingredient while cooking that turned into a disaster?,wrong ingredient (0.98),that turned into a disaster (0.98),none,none,none,none
What kind of meat is in meat tortellini?,meat (0.66),meat tortellini? (0.95),none,none,none,none
"If you had to pick just one typical dish from your country, to make somebody appreciate and understand your country's kitchen at its best, what would you pick and why? Assuming they have never tried anything from your country before.","typical dish from your country, (0.90)",appreciate and understand (0.55),country's kitchen (0.87),tried (0.33),anything (0.35),country (0.45)
Does the brand of flour matter in baking?,brand (0.90),flour (0.77),none,matter (0.55),baking (0.73),none
What is the name of a person whose duty is to bake a cake?,cake (1.00),none,none,ba (0.98),none,none
How do I use egg white on my face?,egg white (1.00),face (1.00),none,none,none,none
"Who is the most entertaining TV chef, living or dead?",tv chef (0.78),living or dead (0.50),none,none,none,none
Why does sweet corn turn brown when it's boiled?,sweet corn turn brown when it's boiled (0.98),none,none,none,none,none
What is the most overrated and over-praised food in Japan?,most (0.89),##rated and over - praised food (1.00),japan (0.75),over (0.61),none,none
Can you completely cook raw meat in the microwave?,raw meat in the microwave? (1.00),none,none,none,none,none
What should kids bake when bored?,kids (0.65),when bored (0.64),none,none,none,none
How do I cut a wheel of cheese?,wheel of cheese (1.00),none,none,none,none,none
Who is the best ramen chef in the world?,best ramen chef in (0.98),world (0.64),none,none,none,none
When is it okay to use minced garlic instead of fresh?,minced garlic instead of fresh? (1.00),none,none,none,none,none
What are the benefits of cooking from scratch?,scratch (0.64),none,none,none,none,none
"Why would the stove and broiler work, but not the oven?",stove and broiler work (0.98),none,none,oven (0.99),none,none
"Which is better, a bamboo or a wood cutting board?",bamboo or a wood cutting board (1.00),none,none,none,none,none
What is curdled cake batter?,curdled cake batter (1.00),none,none,none,none,none
Should you let steam escape when cooking rice?,rice (1.00),none,none,steam escape (0.99),none,none
Is it true that butter doesn't need to be refrigerated?,butter (1.00),##ated (0.62),none,refriger (0.71),none,none
Are people as careful with cooking their food outdoors as they are indoors?,food outdoors (0.96),none,none,cooking (0.58),indoors (0.46),none
"Do you rinse (or otherwise get rid of) the ""slime"" that forms around thawed chicken?",ri (0.49),( (0.42),"the "" slime "" that forms around thawed chicken (0.98)",none,none,none
How do you cook rice without overcooking it?,rice (1.00),none,none,overcooking it (1.00),none,none
What can I cook for a friend who makes great meals but I am a Chef?,friend (0.74),meals (1.00),none,great (0.49),chef (0.86),none
What do you eat during an Italian barbecue?,italian barbecue? (0.93),none,none,none,none,none
How do you assemble a perfect pizza?,perfect pizza (1.00),none,none,none,none,none
What makes olive wagyu so rare?,olive wagyu so rare (1.00),none,none,none,none,none
How do I do my best job at being a line worker?,line worker (1.00),none,none,none,none,none
Does cream cheese frosting go well with pineapple cake?,cream cheese frosting go well with pineapple cake (0.97),none,none,none,none,none
How do I make pinto beans taste good?,pinto beans taste good (1.00),none,none,none,none,none
How long do you steam shrimp in a steamer?,shrimp in a steamer (0.92),none,none,none,none,none
Are Traeger smoker grills worth the hype or do other grills/electric smokers work just as well?,traeger smoker grills (1.00),the hype or do other grills / electric smokers (1.00),none,none,none,none
What are some mind-blowing facts about cooking?,mind - blowing facts (0.86),none,none,cooking (0.93),none,none
How do I make a banana puree for a baby?,banana puree for a baby (1.00),none,none,none,none,none
How do you make a weekend main dish with leftover last during the weekdays?,weekend main dish with leftover last during the weekdays (1.00),none,none,none,none,none
"Is there any specific way to thaw fish, specifically tuna steak?","thaw fish, specifically tuna steak (1.00)",none,none,none,none,none
How do you get the fishy taste out of salmon?,fishy taste out of salmon (1.00),none,none,none,none,none
How do you sweat an eggplant before cooking?,eggplant before cooking (0.99),none,none,none,none,none
How do I bake a 10-pound turkey?,10 - pound turkey? (1.00),none,none,none,none,none
"Paula is making French Toast Casserole for her family's breakfast. She needs eight whole large eggs for the recipe. If she were converting the eggs into tablespoons, eight eggs would be equivalent to how many tablespoons?",paula (0.35),french toast casserole for her family's breakfast (1.00),whole large eggs for the (0.99),eight (0.82),none,none
What do you eat with kimchi pancakes?,none,none,none,kimchi pancakes (0.99),none,none
How do I microwave potatoes for a potato salad?,potatoes for (0.82),potato salad? (1.00),none,none,none,none
Why is rice so hard to cook right?,rice (0.73),right? (1.00),none,none,none,none
Do Thai chilies get weird if you freeze them whole?,thai chilies (1.00),weird (0.75),them whole (0.99),none,none,none
Could lard ever become a popular cooking ingredient again?,##rd (1.00),popular cooking ingredient again (0.99),none,la (0.89),none,none
What's the problem with butter in Canada?,butter in canada (0.98),none,none,none,none,none
"In his first course on recipes, our culinary student learned there were five basic flavors. Four of them (sweet, sour, salty and bitter) have been recognized for centuries. The fifth one was scientifically identified in the 20th century. What is it?",recipes (1.00),culinary student (0.98),basic flavors (0.93),scientific (0.65),identified (0.45),none
Once cooked how long can sausages stay out?,once cooked (0.73),how long can sausages stay out? (1.00),none,none,none,none
I put charcoal in mutton 😮 what happened?,charcoal in mutton 😮 (1.00),none,none,none,none,none
"What are good recipe ideas from eggplant, beets, green onions, and all my garden stuff?",good recipe (0.78),"from eggplant, beets, green onions, and all my garden stuff (0.96)",none,none,none,none
What does egg wash do to dough?,egg (0.90),none,none,wash (0.68),dough (0.73),none
What is the best way to cook ribeye steak?,ribeye steak (1.00),none,none,none,none,none
How many efforts will be wasted in becoming a good cook?,good cook (1.00),none,none,efforts (0.78),none,none
"What type of meal looks horrible when severed, but tastes great?",meal (0.98),"horrible when severed, but tastes (0.76)",none,great (0.75),none,none
How do I thicken pesto sauce?,thick (0.96),pesto sauce (1.00),none,none,none,none
What unconventional food combinations do you enjoy?,food (0.92),none,none,unconventional (0.85),combinations (0.94),none
How do I use oyster sauce with shrimp?,oyster sauce with shrimp? (1.00),none,none,none,none,none
"What's a dish you invented, thinking there's no way it wouldn't taste great, that ended up being a disaster?",dish (1.00),there (0.88),s (0.69),no (0.59),disaster (0.67),none
"What is worse, pineapple on pizza or mayonnaise on pizza?",pineapple on pizza or mayonnaise on pizza (1.00),none,none,none,none,none
"Which type of kitchen knife is safer to use, dull or sharp?",kitchen knife (1.00),or (0.84),none,dull (0.63),sharp (0.82),none
Do you think Australia has its own cuisine?,australia (0.99),none,none,cuisine (1.00),none,none
What are some recipes that are warm and cozy for cold weather that are not soup and curries?,cozy for cold weather that are not (0.64),and currie (0.70),none,warm and (0.80),soup (0.41),##s (0.98)
Are leftovers ever good for longer than three days in the refrigerator?,leftovers ever (0.82),than three days in the refrigerator (0.95),none,longer (0.58),none,none
When should your last meal be?,last (0.72),meal (0.56),none,none,none,none
Is hunger truly the best sauce?,truly (0.57),the best sauce (0.99),none,none,none,none
What temperature should you cook a pot roast to so the meat falls apart?,pot roast to so the meat falls apart (1.00),none,none,none,none,none
What is the most favorite type of bread in the world?,most (0.72),favorite (0.67),bread (0.92),none,none,none
French baguettes are delicious when fresh but by the next day they are stale. The only use I can think if is making croutons. What else can you do with a stale baguette?,french baguettes (0.99),delicious when fresh (1.00),next day they (0.67),none,none,none
Why don’t we boil pasta in a pan?,pasta in a pan (1.00),none,none,none,none,none
"Do restaurateurs generally cook everything on the menu for the coming day? If not, how do they manage to cook some things that require substantial cooking time?",##aurate (0.63),everything on the menu (0.99),coming day (0.97),rest (1.00),##urs (0.54),substantial (1.00)
"How do airlines that operate ultra long flights keep food for the second or third meal (especially breakfast; fruit, eggs etc) fresh after so many hours considering they don’t cook things onboard?",airlines (0.75),ultra long flights (1.00),"food for the second or third meal ( especially breakfast ; fruit, eggs etc ) fresh after so many hours (0.98)",none,none,none
How much is a pound of ham?,pound of ham (1.00),none,none,none,none,none
How expensive is olive wagyu?,olive wagyu (1.00),none,none,none,none,none
What is the biggest mistake people make that can prevent them from cooking correctly?,biggest mistake (0.62),none,none,cooking (0.81),correctly (0.63),none
"What is the best Chinese pastry (pineapple bun, egg tart, etc.)?","the best chinese pastry ( pineapple bun, egg tart, etc. ) (1.00)",none,none,none,none,none
"What is typical Russian food besides borscht, black bread, and vodka?",russian food (0.84),##cht (0.57),"black bread, and vodka (0.97)",bors (0.85),", (0.50)",none
What oils should you not cook with?,none,none,none,oils (0.99),none,none
How many cans of tuna can be made from a freshly caught bluefin tuna from the sea?,cans (0.90),tuna can (0.81),made from a freshly caught bluefin tuna from the sea (0.98),none,none,none
What goes best with fried chicken?,best with fried chicken? (0.76),none,none,none,none,none
"What are some ""must cook"" recipes for new chefs?",""" must cook "" (0.94)",new chefs (1.00),none,none,none,none
How do you get rid of earthy taste in food?,earthy taste in food (0.92),none,none,none,none,none
Why do so many pizza places not offer green olives as a topping?,pizza places (1.00),none,none,green olives as a (0.95),topping (0.51),none
How do I know if plastic is microwave safe?,plastic is microwave safe (1.00),none,none,none,none,none
Should you remove the bone from steak before cooking?,bone from steak (1.00),none,none,cooking (0.68),none,none
How much does a single grain of rice weigh?,much (0.64),single grain of rice weigh (1.00),none,none,none,none
Is hot pot healthy for kids?,hot pot (1.00),none,none,kids (0.83),none,none
What are some five interesting culinary treats?,five interesting culinary treats (1.00),none,none,none,none,none
How do you cook an eggplant without it getting soggy?,eggplant (1.00),so (0.99),none,it (1.00),getting (0.84),##ggy (0.80)
16kg of chickens needs 48l of water to be cooked .how many kg of chicken can be cooked with 135l of water?,16kg (0.99),chickens (0.95),48l of water (0.87),none,none,none
How do I cook fresh beets and greens?,fresh beets and greens? (1.00),none,none,none,none,none
What are sauces made out of?,sauce (1.00),##s made out of? (0.88),none,none,none,none
What is the brown layer on salmon between meat and skin?,brown layer on salmon between meat and skin (1.00),none,none,none,none,none
How do I make simple icing for a cake?,simple icing for (1.00),cake (1.00),none,none,none,none
Can you bake a bundt cake in a 9x13 pan?,bundt cake in a 9x13 pan (1.00),none,none,none,none,none
Does scampi sauce have wine?,scampi sauce (1.00),none,none,wine (1.00),none,none
What happens if you don't chill pie crust?,pie crust (1.00),none,none,none,none,none
Why is it so difficult to get a restaurant to serve a steak blue?,restaurant (1.00),serve (0.68),steak blue (0.90),none,none,none
What goes with deep fried chicken?,deep fried chicken? (0.99),none,none,none,none,none
In Mexican cooking why is it that some people boil their salsa ingredients and some roast them? Is it preference? Is there a huge flavor difference? And as a person who's only roasted my salsa should I try it boiled?,mexican cooking (0.82),their salsa ingredients and (0.92),them (0.96),roast (1.00),preference (0.96),huge (0.59)
How much protein is there in 100g cooked chicken breasts?,100g cooked chicken breasts (1.00),none,none,protein (1.00),none,none
Who can help me cook meat?,meat (1.00),none,none,none,none,none
Why do induction cookers not have the temperature range 80°C to 110°C (176°F-230°F)?,induction cookers (1.00),80°c to 110°c ( 176°f - 230°f (0.92),none,temperature range (0.96),) (0.98),none
What is a plant-based doughnut? What are some? How is it made? Why?,plant - based doughnut (1.00),how (0.63),it (1.00),? (0.76),none,none
"If you put a raw egg (in the shell) in an air fryer, will it explode like it does in a microwave?",raw egg ( in the shell ) in an air fryer (1.00),explode (0.46),it does in (0.76),none,none,none
Do I need to scale salmon before cooking?,salmon (1.00),none,none,cooking (0.83),none,none
"How come you can no longer buy a real HAM with fat and a hambone? All they want to sell you now is fake ham, ground up, mixed with water & chemicals and pressed into a brick.",real ham with fat and a hambone (1.00),"fake ham, ground up, mixed with water & chemicals and pressed into (1.00)",brick (0.53),none,none,none
How long do you let charcoal burn before cooking?,charcoal burn before cooking (0.98),none,none,none,none,none
How do I make boxed stuffing taste better?,boxed stuffing taste better (1.00),none,none,none,none,none
"As a non-Italian, what is the best dish you have tasted in Italy?",non (0.71),italian (0.99),the best dish (0.99),italy (0.52),none,none
Why do some people put a raw egg in mashed potatoes?,raw egg in mashed potatoes? (0.99),none,none,none,none,none
How long does aubergine take to roast?,aubergine (1.00),roast (0.45),none,none,none,none
Do they make eggplant parmesan in Italy?,eggplant parmesan in italy (1.00),none,none,none,none,none
Has pizza always been sliced?,pizza (1.00),sliced (0.68),none,none,none,none
Do you eat popcorn with ketchup or any sauce except butter?,popcorn with ketchup or any sauce except butter (1.00),none,none,none,none,none
Is pork belly healthier than bacon?,pork belly healthier (0.98),bacon (1.00),none,none,none,none
"What would life be like in a universe where instead of burying / cremating etc. the deceased, people close to them cooked and served their meat in order to honor their soul, like it was a ""parting gift"" to give away their body to be used as food?",universe (0.84),soul (0.76),""" (0.42)",life (0.44),burying / cremating etc. the deceased (0.92),meat (0.90)
Is lasagna healthy?,lasagna (0.99),healthy (0.41),none,none,none,none
What are some cheap body building foods?,cheap body building foods (0.98),none,none,none,none,none
Why is all food undercooked?,food (0.81),##co (0.50),? (0.59),all (0.69),under (0.46),##oked (0.90)
How do you make instant noodles feel like an elite meal?,instant noodles feel like an elite meal (1.00),none,none,none,none,none
Why can't we describe what food tastes like? For example can you describe me what pizza tastes like? Without referring to other dishes,food tastes like (0.94),pizza tastes like (0.89),none,example (0.90),referring (1.00),other dishes (0.99)
What is the best way to cook skinless chicken thighs?,skinless chicken thighs (1.00),none,none,none,none,none
Why are dishes made in restaurants generally considered unhealthy due to dishes being overly salty or sweet?,dishes made in restaurants (0.89),unhealthy due to (0.85),overly salty or (0.59),dishes (0.97),sweet (0.45),none
"When making potato salad, do you peel and chunk the potatoes first, or boil them while, peel, and chunk them after they are cooked?",potato salad (1.00),"peel and chunk the potatoes first, (0.92)","boil them while, peel, and chunk them after they (0.99)",cooked (0.72),none,none
How much weight can an egg hold without cracking?,egg hold (0.81),none,none,weight (1.00),cracking (1.00),none
How do I make fluffy icing for cupcakes?,fluffy icing for cupcakes (1.00),none,none,none,none,none
Can a thin crust pizza lover and a pan-crust pizza lover make it as a couple?,thin crust pizza lover and a pan - crust pizza lover (0.99),it (1.00),couple (0.93),none,none,none
What’s the best way to use garlic scapes?,garlic scapes? (1.00),none,none,none,none,none
You are cooking with a recipe that called for 1/4 pound of butter. How many teaspoons of butter do you add?,1 / 4 pound of butter (1.00),many teaspoons of butter (1.00),none,none,none,none
"Why should we be respectful to our mother, sister, wife, or whoever is cooking for you in this melting hot weather?","mother, sister, wife (0.90)",or whoever is (0.91),melting hot weather (1.00),none,none,none
What tastes like garlic but isn't garlic?,garlic but (0.78),none,none,garlic (0.77),none,none
"I have 0 cooking skills, what are good recipes to start learning (good meaning nutritious, doesn't take awfully long, etc.)?","good recipes to start learning ( good meaning nutritious, doesn't take awfully long, etc. ) (0.92)",none,none,cooking skills (0.95),none,none
